 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
S21,"青衣邨
Tsing Yi Estate","男
Male",90.0,258.0,509.0,664.0,523.0,342.0,259.0,479.0,751.0,641.0,405.0,542.0,5463,"1 0,631"
S21,,"女
Female",79.0,290.0,440.0,703.0,535.0,357.0,281.0,298.0,546.0,599.0,441.0,599.0,5168,
S22,"翠怡
Greenfield","男
Male",119.0,278.0,251.0,409.0,536.0,651.0,615.0,698.0,443.0,305.0,263.0,392.0,4960,"9 ,844"
S22,,"女
Female",170.0,315.0,235.0,348.0,518.0,631.0,600.0,682.0,500.0,293.0,235.0,357.0,4884,
S23,"長青
Cheung Ching","男
Male",135.0,343.0,342.0,331.0,343.0,350.0,371.0,479.0,528.0,579.0,662.0,1033.0,5496,"1 0,737"
S23,,"女
Female",154.0,372.0,331.0,339.0,384.0,456.0,319.0,411.0,470.0,429.0,473.0,1103.0,5241,
S24,"長康
Cheung Hong","男
Male",76.0,211.0,322.0,313.0,253.0,285.0,250.0,476.0,628.0,529.0,586.0,824.0,4753,"9 ,088"
S24,,"女
Female",84.0,277.0,294.0,305.0,301.0,292.0,243.0,289.0,510.0,474.0,437.0,829.0,4335,
S25,"盛康
Shing Hong","男
Male",70.0,200.0,259.0,433.0,327.0,248.0,250.0,353.0,712.0,826.0,599.0,829.0,5106,"9 ,872"
S25,,"女
Female",94.0,223.0,280.0,455.0,427.0,307.0,204.0,232.0,387.0,612.0,592.0,953.0,4766,
S26,"青衣南
Tsing Yi South","男
Male",244.0,522.0,414.0,297.0,321.0,539.0,580.0,679.0,534.0,395.0,233.0,278.0,5036,"1 0,027"
S26,,"女
Female",294.0,588.0,477.0,320.0,310.0,353.0,371.0,483.0,595.0,501.0,331.0,368.0,4991,
S27,"長亨
Cheung Hang","男
Male",86.0,315.0,467.0,308.0,253.0,221.0,218.0,450.0,619.0,602.0,472.0,548.0,4559,"9 ,030"
S27,,"女
Female",83.0,389.0,478.0,325.0,289.0,271.0,174.0,260.0,559.0,521.0,450.0,672.0,4471,
S28,"青發
Ching Fat","男
Male",105.0,386.0,545.0,472.0,288.0,295.0,318.0,850.0,1039.0,638.0,408.0,767.0,6111,"1 1,0865"
S28,,"女
Female",104.0,421.0,603.0,535.0,299.0,286.0,247.0,530.0,914.0,688.0,436.0,691.0,5754,
S29,"長安
Cheung On","男
Male",47.0,179.0,400.0,648.0,337.0,205.0,187.0,351.0,958.0,713.0,441.0,513.0,4979,"9 ,774"
S29,,"女
Female",49.0,189.0,449.0,699.0,372.0,268.0,173.0,195.0,598.0,714.0,474.0,615.0,4795,
,,,,,,,,,,,,,,,285952,
