 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
M27,"耀祐
Yiu Yau","男
Male",128.0,531.0,563.0,313.0,290.0,196.0,206.0,413.0,610.0,469.0,313.0,368.0,4400,"8 ,923"
M27,,"女
Female",128.0,466.0,524.0,283.0,225.0,184.0,321.0,637.0,696.0,501.0,269.0,289.0,4523,
M28,"天耀
Tin Yiu","男
Male",98.0,403.0,586.0,345.0,216.0,155.0,157.0,304.0,619.0,503.0,337.0,358.0,4081,"8 ,444"
M28,,"女
Female",90.0,427.0,519.0,273.0,190.0,172.0,289.0,608.0,720.0,472.0,253.0,350.0,4363,
M29,"嘉湖南
Kingswood South","男
Male",144.0,346.0,274.0,269.0,298.0,353.0,357.0,531.0,510.0,365.0,271.0,381.0,4099,"8 ,187"
M29,,"女
Female",161.0,313.0,271.0,257.0,291.0,370.0,485.0,528.0,448.0,301.0,274.0,389.0,4088,
M30,"頌栢
Chung Pak","男
Male",160.0,230.0,250.0,286.0,349.0,423.0,404.0,494.0,451.0,317.0,211.0,302.0,3877,"7 ,834"
M30,,"女
Female",145.0,299.0,260.0,287.0,363.0,438.0,429.0,469.0,397.0,338.0,223.0,309.0,3957,
M31,"錦綉花園
Fairview Park","男
Male",107.0,305.0,248.0,224.0,261.0,279.0,325.0,548.0,566.0,472.0,343.0,415.0,4093,"8 ,242"
M31,,"女
Female",109.0,281.0,244.0,235.0,294.0,332.0,405.0,587.0,587.0,416.0,299.0,360.0,4149,
M32,"新田
San Tin","男
Male",117.0,314.0,296.0,300.0,371.0,374.0,439.0,566.0,689.0,537.0,386.0,531.0,4920,"9 ,176"
M32,,"女
Female",127.0,313.0,265.0,247.0,299.0,402.0,423.0,504.0,532.0,394.0,260.0,490.0,4256,
M33,"錦田
Kam Tin","男
Male",89.0,187.0,196.0,245.0,288.0,282.0,299.0,389.0,351.0,277.0,190.0,251.0,3044,"5 ,763"
M33,,"女
Female",77.0,173.0,154.0,237.0,274.0,264.0,284.0,356.0,296.0,223.0,135.0,246.0,2719,
M34,"八鄉北
Pat Heung North","男
Male",94.0,214.0,202.0,244.0,306.0,283.0,300.0,403.0,424.0,281.0,185.0,325.0,3261,"6 ,290"
M34,,"女
Female",101.0,185.0,219.0,262.0,258.0,307.0,335.0,343.0,342.0,237.0,137.0,303.0,3029,
M35,"八鄉南
Pat Heung South","男
Male",123.0,339.0,321.0,335.0,431.0,455.0,473.0,654.0,667.0,460.0,287.0,469.0,5014,"9 ,713"
M35,,"女
Female",143.0,286.0,320.0,343.0,406.0,477.0,493.0,643.0,526.0,377.0,228.0,457.0,4699,
,,,,,,,,,,,,,,,314400,
