票站編號,票站,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數,18-20歲所佔比例,21-25歲所佔比例,26-30歲所佔比例,31-35歲所佔比例,36-40歲所佔比例,41-45歲所佔比例,46-50歲所佔比例,51-55歲所佔比例,56-60歲所佔比例,61-65歲所佔比例,66-70歲所佔比例,71歲或以上所佔比例,
A1501,李陞小學,80,170,223,208,241,269,363,440,366,300,277,351,3288,0.02433090024,0.05170316302,0.06782238443,0.06326034063,0.07329683698,0.08181265207,0.1104014599,0.1338199513,0.1113138686,0.09124087591,0.08424574209,0.1067518248,2016立法會選舉
B0101,軒尼詩道官立小學,68,107,211,195,226,253,269,308,347,321,268,447,3020,0.02251655629,0.03543046358,0.06986754967,0.06456953642,0.07483443709,0.08377483444,0.08907284768,0.101986755,0.1149006623,0.1062913907,0.08874172185,0.148013245,2016立法會選舉
B0201,鄧肇堅維多利亞官立中學,88,117,171,163,230,217,239,259,318,301,292,418,2813,0.03128332741,0.04159260576,0.06078919303,0.05794525418,0.08176324209,0.07714184145,0.0849626733,0.09207252044,0.1130465695,0.1070031994,0.1038037682,0.1485958052,2016立法會選舉
B0301,前灣仔學校,70,156,191,238,272,388,372,416,453,523,410,542,4031,0.01736541801,0.03870007442,0.04738278343,0.05904242124,0.06747705284,0.09625403126,0.09228479286,0.1032001985,0.1123790623,0.1297444803,0.1017117341,0.1344579509,2016立法會選舉
B0401,皇仁書院,78,220,251,318,388,455,430,476,526,410,534,749,4835,0.01613236815,0.04550155119,0.0519131334,0.06577042399,0.08024819028,0.09410548087,0.08893485005,0.09844881075,0.1087900724,0.0847983454,0.1104446743,0.1549120993,2016立法會選舉
B0501,港島兒童蒙特梭利學校,13,38,39,67,79,114,122,109,109,107,82,110,989,0.0131445905,0.03842264914,0.03943377149,0.06774519717,0.07987866532,0.1152679474,0.1233569262,0.1102123357,0.1102123357,0.108190091,0.08291203236,0.111223458,2016立法會選舉
B0502,勵德邨邨榮樓有蓋停車場,28,74,125,144,143,73,145,152,221,307,404,421,2237,0.01251676352,0.03308001788,0.05587840858,0.06437192669,0.06392489942,0.03263299061,0.06481895396,0.06794814484,0.09879302637,0.1372373715,0.1805990165,0.1881984801,2016立法會選舉
B0701,港灣婦女會,73,145,152,221,307,404,421,434,382,355,258,434,3586,0.02035694367,0.0404350251,0.04238706079,0.06162855549,0.08561070831,0.1126603458,0.1174010039,0.1210262131,0.1065253765,0.09899609593,0.07194645845,0.1210262131,2016立法會選舉
B0801,中華基督教會公理高中書院,78,158,172,175,227,357,439,571,531,427,344,384,3863,0.02019156096,0.04090085426,0.04452498059,0.04530157908,0.05876261973,0.09241522133,0.113642247,0.1478125809,0.1374579342,0.110535853,0.08904996117,0.09940460782,2016立法會選舉
B0901,禮頓山社區會堂,74,177,159,184,237,305,351,508,504,449,351,328,3627,0.02040253653,0.0488006617,0.04383788255,0.05073063138,0.06534325889,0.0840915357,0.09677419355,0.1400606562,0.1389578164,0.123793769,0.09677419355,0.09043286463,2016立法會選舉
B1001,黃泥涌體育館,49,74,99,178,291,367,364,310,325,302,287,467,3113,0.0157404433,0.02377128172,0.03180212014,0.05717956955,0.0934789592,0.117892708,0.1169290074,0.0995823964,0.1044008995,0.09701252811,0.09219402506,0.1500160617,2016立法會選舉
B1101,寶血小學,23,27,30,33,42,61,97,95,85,88,68,110,759,0.0303030303,0.03557312253,0.0395256917,0.04347826087,0.05533596838,0.08036890646,0.1277997365,0.1251646904,0.1119894598,0.115942029,0.08959156785,0.1449275362,2016立法會選舉
B1102,香港青少年服務處成和青少年中心,11,19,39,39,63,81,88,111,120,123,132,160,986,0.01115618661,0.01926977688,0.03955375254,0.03955375254,0.06389452333,0.08215010142,0.0892494929,0.1125760649,0.121703854,0.1247464503,0.1338742394,0.1622718053,2016立法會選舉
B1201,灣仔郵政局,51,125,171,172,205,259,256,294,338,269,410,273,2823,0.01806588735,0.04427913567,0.0605738576,0.06092809068,0.0726177825,0.09174636911,0.09068366985,0.1041445271,0.1197307829,0.09528869996,0.145235565,0.09670563231,2016立法會選舉
B1301,循道衛理中心,45,122,148,167,177,237,240,298,337,293,287,418,2769,0.01625135428,0.04405922716,0.05344889852,0.06031058144,0.0639219935,0.08559046587,0.08667388949,0.1076200795,0.1217045865,0.1058143734,0.1036475262,0.1509570242,2016立法會選舉
C0101,東區少年警訊會所,138,269,302,330,400,464,502,649,637,666,503,669,5529,0.02495930548,0.04865255923,0.0546210888,0.05968529571,0.07234581299,0.08392114306,0.0907939953,0.1173810816,0.1152107072,0.1204557786,0.09097485983,0.1209983722,2016立法會選舉
C0201,聖安娜中英文幼稚園,74,132,167,182,287,318,334,384,391,374,330,370,3343,0.02213580616,0.03948549207,0.04995513012,0.05444211786,0.08585103201,0.09512413999,0.09991026025,0.114866886,0.1169608136,0.1118755609,0.09871373018,0.1106790308,2016立法會選舉
C0202,太古城郵政局,70,144,152,175,213,268,364,401,440,407,336,381,3351,0.02088928678,0.04297224709,0.04535959415,0.05222321695,0.06356311549,0.07997612653,0.1086242913,0.1196657714,0.1313040883,0.1214562817,0.1002685765,0.1136974038,2016立法會選舉
C0301,西灣河健康中心,138,265,224,270,388,494,511,629,555,523,343,365,4705,0.02933049947,0.05632306057,0.04760892667,0.05738575983,0.08246546227,0.1049946865,0.108607864,0.1336875664,0.1179596174,0.1111583422,0.07290116897,0.0775770457,2016立法會選舉
C0401,中華基督教會基灣小學(愛蝶灣),151,346,388,412,448,627,575,631,718,623,598,1162,6679,0.02260817488,0.0518041623,0.05809252882,0.06168588112,0.06707590957,0.09387632879,0.08609073215,0.09447522084,0.1075011229,0.09327743674,0.08953436143,0.1739781404,2016立法會選舉
C0501,筲箕灣郵政局,112,223,274,290,256,267,285,443,406,338,290,364,3548,0.03156708005,0.06285231116,0.07722660654,0.0817361894,0.07215332582,0.07525366404,0.08032694476,0.1248590755,0.1144306652,0.09526493799,0.0817361894,0.1025930101,2016立法會選舉
C0601,愛秩序灣官立小學,101,167,185,176,370,536,494,313,298,249,258,319,3466,0.02914021927,0.04818234276,0.05337564916,0.05077899596,0.1067512983,0.1546451241,0.1425274091,0.09030582804,0.08597807271,0.0718407386,0.07443739181,0.09203693018,2016立法會選舉
C0602,筲箕灣官立小學,68,159,224,229,227,226,272,312,351,364,309,705,3446,0.0197330238,0.0461404527,0.06500290192,0.06645385955,0.06587347649,0.06558328497,0.07893209518,0.09053975624,0.1018572258,0.1056297156,0.08966918166,0.2045850261,2016立法會選舉
C0701,嶺南中學,263,517,403,429,481,715,881,1422,1227,794,498,562,8192,0.03210449219,0.06311035156,0.04919433594,0.05236816406,0.05871582031,0.08728027344,0.1075439453,0.1735839844,0.1497802734,0.09692382813,0.06079101563,0.06860351563,2016立法會選舉
C0801,聖公會李福慶中學,141,235,305,365,386,314,474,601,531,398,384,597,4731,0.02980342422,0.04967237371,0.06446839992,0.0771507081,0.08158951596,0.06637074614,0.1001902346,0.1270344536,0.1122384274,0.08412597759,0.08116677235,0.1261889664,2016立法會選舉
C0901,福建中學(小西灣),210,372,251,303,419,668,863,974,784,497,347,460,6148,0.03415744958,0.06050748211,0.04082628497,0.0492843201,0.06815224463,0.1086532206,0.1403708523,0.1584255042,0.1275211451,0.08083929733,0.05644111906,0.07482108003,2016立法會選舉
C1001,小西灣社區會堂,167,388,526,434,277,302,413,660,795,697,510,716,5885,0.02837723025,0.06593033135,0.0893797791,0.07374681393,0.04706881903,0.05131690739,0.07017841971,0.1121495327,0.1350892099,0.1184367035,0.08666100255,0.1216652506,2016立法會選舉
C1101,嶺南衡怡紀念中學,263,468,360,334,340,526,894,1107,846,601,523,824,7086,0.03711543889,0.06604572396,0.05080440305,0.04713519616,0.04798193621,0.07423087779,0.1261642676,0.1562235394,0.1193903472,0.08481512842,0.07380750776,0.1162856336,2016立法會選舉
C1201,救世軍中原慈善基金學校,132,296,316,371,269,289,316,446,572,501,429,643,4580,0.0288209607,0.06462882096,0.06899563319,0.08100436681,0.05873362445,0.06310043668,0.06899563319,0.09737991266,0.1248908297,0.1093886463,0.09366812227,0.1403930131,2016立法會選舉
C1301,文理書院(香港),127,251,311,254,296,305,453,530,420,519,469,838,4773,0.02660800335,0.05258747119,0.06515818144,0.0532160067,0.06201550388,0.06390111041,0.09490886235,0.1110412738,0.08799497172,0.1087366436,0.09826105175,0.1755709198,2016立法會選舉
C1401,鰂魚涌體育館,152,313,341,400,454,507,465,555,683,648,675,897,6090,0.0249589491,0.05139573071,0.05599343186,0.06568144499,0.07454844007,0.08325123153,0.0763546798,0.09113300493,0.1121510673,0.1064039409,0.1108374384,0.1472906404,2016立法會選舉
C1501,閩僑中學,98,225,256,211,284,457,498,558,668,510,505,456,4726,0.02073635209,0.04760897165,0.05416842996,0.04464663563,0.06009310199,0.0966991113,0.1053745239,0.1180702497,0.1413457469,0.1079136691,0.1068556919,0.09648751587,2016立法會選舉
C1601,金文泰中學,90,179,224,211,353,417,418,500,507,434,388,505,4226,0.0212967345,0.04235683862,0.05300520587,0.04992901088,0.08353052532,0.09867486985,0.09891150024,0.1183151917,0.1199716044,0.1026975864,0.09181258874,0.1194983436,2016立法會選舉
C1701,銅鑼灣社區中心,57,95,122,166,184,248,242,245,236,284,277,413,2569,0.02218762164,0.0369793694,0.04748929545,0.06461658233,0.07162319969,0.09653561697,0.09420007785,0.09536784741,0.09186453873,0.1105488517,0.1078240561,0.1607629428,2016立法會選舉
C1801,渣華道體育館,101,236,353,335,429,480,388,437,497,610,705,969,5540,0.01823104693,0.04259927798,0.06371841155,0.06046931408,0.0774368231,0.08664259928,0.07003610108,0.07888086643,0.08971119134,0.1101083032,0.1272563177,0.1749097473,2016立法會選舉
C1802,顯理中學,179,402,472,520,603,723,732,759,913,998,926,1163,8390,0.02133492253,0.04791418355,0.05625744934,0.06197854589,0.07187127533,0.08617401669,0.08724672229,0.09046483909,0.1088200238,0.1189511323,0.1103694875,0.1386174017,2016立法會選舉
C1901,北角衞理小學,90,132,174,199,278,358,347,330,310,322,276,381,3197,0.02815139193,0.04128870816,0.0544260244,0.06224585549,0.08695652174,0.1119799812,0.1085392556,0.1032217704,0.09696590554,0.1007194245,0.08633093525,0.1191742258,2016立法會選舉
C2001,香港遊樂場協會賽馬會北角港運城青少年綜合服務中心,59,114,135,103,180,198,250,306,268,226,188,238,2265,0.02604856512,0.05033112583,0.05960264901,0.04547461369,0.07947019868,0.08741721854,0.1103752759,0.1350993377,0.1183222958,0.09977924945,0.08300220751,0.1050772627,2016立法會選舉
C2101,啟基學校(港島),122,289,358,420,562,547,547,612,643,625,631,752,6108,0.01997380485,0.04731499673,0.05861165684,0.06876227898,0.09201047806,0.08955468238,0.08955468238,0.1001964637,0.1052717747,0.1023248199,0.1033071382,0.1231172233,2016立法會選舉
C2201,丹拿山循道學校,58,150,154,122,176,239,278,368,373,269,253,580,3020,0.01920529801,0.04966887417,0.05099337748,0.04039735099,0.0582781457,0.07913907285,0.09205298013,0.1218543046,0.1235099338,0.08907284768,0.08377483444,0.1920529801,2016立法會選舉
C2301,北角官立小學,101,201,244,257,282,278,329,403,403,420,363,505,3786,0.02667723191,0.05309033281,0.06444796619,0.06788166931,0.07448494453,0.0734284205,0.08689910195,0.1064447966,0.1064447966,0.1109350238,0.09587955626,0.1333861595,2016立法會選舉
C2401,鰂魚涌社區會堂,120,247,287,419,480,572,566,690,664,549,561,786,5941,0.02019861976,0.04157549234,0.0483083656,0.07052684733,0.08079447904,0.09628008753,0.09527015654,0.1161420636,0.111765696,0.09240868541,0.09442854738,0.1323009594,2016立法會選舉
C2501,佛教中華康山學校,94,178,197,252,313,442,481,575,516,410,348,355,4161,0.02259072338,0.04277817832,0.04734438837,0.06056236482,0.07522230233,0.1062244653,0.1155972122,0.1381879356,0.1240086518,0.09853400625,0.08363374189,0.0853160298,2016立法會選舉
