,,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:
M2001,元朗公立中學校友會英業小學,309,268,238,332,573,799,928,606,362,178,127,137,4857
M2101,香港管理專業協會羅桂祥中學,94,122,193,410,565,717,536,418,329,189,145,204,3922
M2201,裘錦秋中學 (元朗),84,97,147,231,381,512,353,279,176,120,87,152,2619
M2301,天耀社區中心,287,352,237,149,200,546,814,732,448,224,199,304,4492
M2401,天水圍官立中學,115,152,153,105,210,371,511,369,264,137,92,147,2626
M2402,道慈佛社楊日霖紀念學校,112,135,106,77,135,319,421,315,222,144,131,354,2471
M2501,港澳信義會黃陳淑英紀念學校,84,129,122,158,274,523,642,514,394,159,126,184,3309
M2601,惇裕學校,14,20,24,49,43,67,86,93,82,49,41,143,711
M2602,福興里新圍青年中心,38,58,67,109,138,232,303,212,140,71,82,187,1637
M2701,聖公會錦田聖約瑟小學,40,76,140,131,155,213,217,170,132,89,100,169,1632
M2801,台山公立學校 (舊址),35,78,109,123,146,168,247,168,133,85,94,229,1615
M2901,八鄉中心小學 (石湖塘石湖),85,134,165,240,251,362,380,316,212,158,163,348,2814
N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,98,143,140,122,226,442,421,255,181,105,88,161,2382
N0201,粉嶺公立學校,32,40,30,33,55,78,94,78,61,38,27,68,634
N0202,明愛粉嶺陳震夏中學,51,53,66,75,178,272,233,136,94,41,29,64,1292
N0301,祥華社區會堂,168,475,462,207,245,323,551,696,576,302,244,410,4659
N0401,香海正覺蓮社佛教正覺蓮社學校,252,340,378,583,1064,1187,965,662,468,207,174,253,6533
N0501,鳳溪廖潤琛紀念學校,652,306,183,86,136,565,963,621,320,151,127,255,4365
N0601,香海正覺蓮社佛教普光學校,73,142,138,125,252,426,351,280,213,104,82,152,2338
N0602,路德會賽馬會雍盛綜合服務中心,213,204,84,111,289,479,608,431,238,161,107,216,3141
N0701,聖公會嘉福榮真小學,224,298,239,157,327,575,688,629,379,196,141,326,4179
N0801,金錢村何東學校,30,32,42,59,88,149,141,123,82,61,69,170,1046
N0802,建德公立學校,10,18,28,35,34,48,44,37,45,30,36,107,472
N0803,古洞公立愛華學校,33,59,70,76,100,128,134,115,87,77,70,220,1169
N0804,聖公會榮真小學,47,53,39,48,105,248,271,153,74,32,24,26,1120
N0901,香海正覺蓮社佛教陳式宏學校,212,239,173,143,143,306,488,410,242,107,89,165,2717
N0902,香海正覺蓮社佛教正慧小學,45,64,71,102,143,222,199,158,100,62,53,93,1312
N1001,彩園會堂,123,203,275,117,144,217,332,403,397,273,240,580,3304
N1002,神召會華人同工聯會彩蒲幼稚園,89,195,80,58,85,132,323,315,189,56,35,93,1650
N1101,龍琛路體育館,98,345,134,85,88,155,340,361,201,104,80,141,2132
N1102,聖公會陳融中學,121,134,137,128,228,368,384,302,163,85,81,111,2242
N1301,李志達紀念學校,153,196,138,127,213,614,605,388,229,114,164,265,3206
N1401,打鼓嶺嶺英公立學校,19,20,17,16,18,33,37,44,32,18,27,69,350
N1402,沙頭角官立中學,9,5,4,5,12,32,27,22,28,12,29,99,284
N1403,吉澳村公所,0,0,0,0,2,5,4,1,9,5,7,20,53
N1404,沙頭角中心小學,62,88,101,102,161,214,288,231,184,111,100,228,1870
N1405,李氏宗祠,0,3,0,0,1,2,6,6,2,0,2,12,34
N1406,打鼓嶺鄉村中心政府大樓,12,22,29,19,35,35,49,50,40,37,45,69,442
N1501,天平體育館,400,489,190,99,133,382,857,548,289,134,106,176,3803
N1601,從謙學校,8,18,22,22,27,44,55,40,35,21,26,61,379
N1602,龍山學校,12,22,23,38,43,57,74,73,47,27,18,61,495
N1603,軍地蔬菜產銷有限責任合作社,28,28,38,32,48,67,71,49,49,41,42,97,590
N1604,新福事工協會生命導向中心,17,17,28,39,48,87,72,57,43,29,27,85,549
N1605,和合石村公所,6,8,7,12,21,28,26,16,14,13,7,46,204
N1606,聯和墟社區會堂,85,116,156,309,354,433,447,242,174,86,76,92,2570
P0101,大埔社區中心 (展覽廳),137,153,165,217,313,500,536,419,270,149,165,305,3329
P0201,大埔官立中學,159,191,167,194,280,557,707,459,218,91,66,161,3250
P0301,新界婦孺福利會梁省德學校,55,78,92,113,141,291,266,164,113,54,54,79,1500
P0302,香港紅卍字會大埔卍慈中學,151,128,95,83,107,283,431,282,192,112,109,201,2174
P0401,大元社區會堂,127,212,373,254,153,244,335,482,522,296,218,327,3543
P0501,富亨鄰里社區中心,427,373,154,91,109,439,817,567,364,178,144,267,3930
P0601,富善社區會堂,195,650,481,218,254,435,755,756,620,274,220,304,5162
P0701,香港道教聯合會圓玄學院第二中學,221,309,191,183,265,481,875,634,372,244,220,436,4431
P0801,廣福社區會堂,111,377,377,105,108,147,324,631,492,259,248,303,3482
P0802,大埔崇德黃建常紀念學校,62,66,73,116,167,254,257,173,95,68,66,106,1503
P0901,,155,365,342,144,133,257,519,717,480,232,168,460,3972
P1001,香港教師會李興貴中學,147,172,179,252,373,722,742,516,332,164,127,188,3914
P1002,保良局田家炳千禧小學,15,28,26,34,59,83,106,109,74,21,22,23,600
P1101,運頭塘鄰里社區中心,281,312,262,184,248,559,769,570,419,165,176,283,4228
P1201,挪威國際學校 (前大埔師範紀念學校),31,48,44,48,85,108,123,90,50,29,26,46,728
P1301,南華莆崇真堂,5,10,7,14,17,28,37,22,16,14,4,17,191
P1302,獅子會林村青年中心,48,83,100,125,156,215,221,212,116,53,68,143,1540
P1303,泰亨公立學校,23,28,31,65,58,64,71,53,41,21,16,28,499
P1401,神召會康樂中學,364,358,218,146,138,380,786,573,333,171,157,284,3908
