選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015選區推算人口
R02,瀝源,307,676,559,483,502,643,621,685,803,711,611,1348,7949,16442
R03,禾輋邨,433,1020,787,604,722,768,693,1012,1107,1113,1169,2062,11490,18329
R04,第一城,303,725,675,664,703,708,772,1191,1281,856,505,698,9081,15824
R05,愉城,265,510,607,764,689,652,798,1071,1125,858,506,776,8621,15363
R06,王屋,308,564,617,622,756,698,685,961,1034,767,550,702,8264,17586
R07,沙角,282,696,524,552,698,727,539,744,862,1090,1235,2117,10066,16543
R08,博康,242,562,608,1269,1270,880,563,641,1114,1473,1266,1752,11640,16341
R09,乙明,278,642,617,994,1155,689,561,716,1089,1415,1129,1302,10587,20609
R10,秦豐,257,523,549,736,813,569,534,789,992,1155,867,1261,9045,15274
R11,新田圍,339,744,590,575,736,693,602,830,850,804,779,1374,8916,17028
R12,翠田,273,640,582,761,780,490,517,802,1044,1046,777,1047,8759,15432
R13,顯嘉,193,583,963,1120,662,465,386,891,1588,1117,612,849,9429,13242
R14,下城門,511,807,539,468,678,878,831,889,939,756,565,501,8362,18693
R15,雲城,394,657,623,678,886,908,930,1329,1058,786,518,824,9591,20693
R16,徑口,381,688,765,1178,1059,995,943,1066,1418,1268,896,1490,12147,20452
R17,田心,309,789,586,694,665,519,452,577,814,1156,926,1197,8684,14986
R18,翠嘉,284,588,549,740,751,633,520,783,1007,1163,1044,1563,9625,16045
R19,大圍,329,748,751,832,855,818,793,1112,1371,1327,1135,2240,12311,20765
R20,松田,304,608,459,483,604,707,938,1194,953,694,544,742,8230,15032
R21,穗禾,269,518,508,580,582,513,599,1004,1040,857,649,931,8050,13191
R22,火炭,324,587,489,566,662,776,836,1190,972,682,355,452,7891,16960
R23,駿馬,325,567,414,314,342,439,631,1015,1043,616,320,330,6356,14491
R24,頌安,699,1427,995,595,600,904,1203,1622,1485,913,465,651,11559,20910
R25,錦濤,435,746,743,1127,1145,1097,1269,1418,1272,940,744,1325,12261,20813
R26,馬鞍山市中心,403,637,520,680,891,923,1111,1426,1075,670,442,645,9423,18206
R27,利安,441,1413,938,571,543,606,752,1198,1262,1000,762,911,10397,16354
R28,富龍,433,808,612,800,856,861,1114,1541,1301,1133,855,1356,11670,16979
R29,烏溪沙,317,425,355,572,634,767,808,969,683,409,256,302,6497,16346
R30,錦英,470,853,568,685,831,887,1153,1668,1149,846,663,975,10748,17726
R31,耀安,248,827,1729,1794,702,520,423,1251,2353,1593,896,1142,13478,19370
R32,恒安,266,692,1301,2053,1244,795,532,992,2418,2161,1314,1632,15400,21864
R33,鞍泰,445,693,633,989,1433,1589,1422,1311,1142,858,720,863,12098,21661
R34,大水坑,424,947,715,696,730,787,804,1600,1543,1018,680,1230,11174,17868
R35,愉欣,241,475,567,1036,1564,1322,848,826,809,692,576,851,9807,18197
R36,碧湖,403,736,575,552,750,800,797,1181,1191,848,456,510,8799,16660
R37,廣康,425,879,712,597,751,922,1079,1645,1254,861,522,819,10466,18016
R38,廣源,186,879,1224,856,468,416,401,853,1383,981,605,960,9212,13883
S01,葵興,281,508,448,571,716,964,1093,1014,859,761,753,1771,9739,17975
S02,葵盛東邨,454,1103,795,534,496,659,862,1085,1275,899,806,2004,10972,18253
S03,上大窩口,213,477,377,304,523,697,662,729,648,560,520,1501,7211,12957
S04,下大窩口,195,528,532,547,524,607,665,844,972,755,619,1626,8414,13301
S05,葵涌邨北,530,871,551,466,674,940,913,997,897,752,484,635,8710,19197
S06,葵涌邨南,497,880,575,449,755,1080,960,1122,925,704,545,1211,9703,20793
S07,石蔭,477,998,810,576,709,987,1178,1227,1033,904,696,2268,11863,21347
S08,安蔭,292,543,465,384,545,865,1030,817,677,552,733,2557,9460,16044
S09,石籬南,369,801,644,679,715,853,985,1096,1038,986,901,2258,11325,19630
S10,石籬北,618,1053,795,499,552,788,936,1013,988,770,583,1314,9909,21330
S11,大白田,269,618,695,769,792,822,749,927,1014,813,677,1135,9280,21829
S12,葵芳,350,842,640,442,593,853,927,988,968,777,841,2297,10518,17652
S13,華麗,279,649,552,464,596,733,719,929,998,861,835,1615,9230,16655
S14,荔華,262,571,560,504,690,794,685,824,833,698,595,810,7826,14771
S15,祖堯,229,393,323,460,767,958,931,870,576,715,953,1274,8449,15988
S16,興芳,331,586,581,787,942,1099,1098,1122,1049,755,599,915,9864,20293
S17,荔景,224,528,474,473,549,646,521,621,732,780,950,1719,8217,14095
S18,葵盛西邨,335,760,748,569,769,969,707,828,931,953,1087,2051,10707,18254
S19,安灝,319,721,1186,1199,747,932,964,1362,1821,1225,754,1007,12237,20850
S20,偉盈,364,659,461,473,687,1017,1432,1615,1191,785,583,892,10159,19576
S21,青衣邨,185,622,1029,1367,931,682,522,892,1344,1185,756,1077,10592,17201
S22,翠怡,311,585,493,834,1061,1311,1224,1389,873,565,460,723,9829,19924
S23,長青,325,716,639,656,752,778,682,921,972,1055,1106,2030,10632,18733
S24,長康,179,532,595,597,547,587,486,890,1105,1037,939,1578,9072,15560
S25,盛康,184,434,590,882,695,510,470,634,1215,1440,1101,1699,9854,15138
S26,青衣南,591,1109,780,591,652,942,957,1204,1055,829,499,610,9819,19744
S27,長亨,218,774,882,609,516,458,409,801,1216,1074,851,1157,8965,13616
S28,青發,271,894,1190,870,570,573,634,1624,1868,1188,800,1409,11891,18267
S29,長安,113,419,1006,1348,566,458,355,718,1632,1329,848,1067,9859,13832
T01,大嶼山,174,318,317,395,472,611,740,919,775,652,484,1230,7087,19207
T02,逸東邨北,687,905,632,447,729,1038,1027,1127,960,633,436,501,9122,18959
