選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015選區推算人口
A01,中環,96,170,197,244,286,355,422,484,506,400,387,694,4241,13850
A02,半山東,151,307,307,374,442,610,631,843,876,700,501,864,6606,18828
A03,衛城,152,346,290,336,489,660,698,929,867,681,540,795,6783,18859
A04,山頂,111,255,261,274,285,431,463,710,694,615,532,684,5315,20324
A05,大學,196,429,444,442,595,684,756,961,1019,875,695,1146,8242,19010
A06,堅摩,174,376,387,498,640,772,699,791,730,624,483,902,7076,16920
A07,觀龍,198,426,509,610,616,709,744,922,876,723,668,1421,8422,15188
A08,西環,187,377,470,581,614,742,632,795,831,732,601,1025,7587,14789
A09,寶翠,274,521,545,602,767,957,1060,1214,1050,913,699,1155,9757,21195
A10,石塘咀,193,425,474,599,606,690,608,756,832,783,688,1222,7876,17176
A11,西營盤,164,386,437,498,561,580,546,667,757,775,638,1192,7201,14528
A12,上環,148,377,416,469,529,604,575,647,745,657,544,955,6666,17550
A13,東華,115,262,270,353,424,534,484,586,567,435,387,708,5125,13051
A14,正街,153,357,396,468,478,526,565,763,835,652,498,866,6557,16227
A15,水街,176,386,435,502,585,591,613,812,828,698,586,938,7150,15142
B01,軒尼詩,96,221,308,290,382,387,425,467,512,478,415,929,4910,13207
B02,愛群,132,252,291,401,432,505,472,517,605,574,535,1166,5882,14442
B03,鵝頸,96,195,220,299,363,434,381,439,454,522,452,968,4823,13514
B04,維園,124,296,312,417,550,573,525,629,605,590,656,1135,6412,14642
B05,天后,110,282,341,440,477,657,541,607,674,716,777,1703,7325,14156
B06,銅鑼灣,81,166,211,285,407,437,431,428,461,491,500,1139,5037,13655
B07,大坑,111,230,233,337,439,584,619,670,622,525,413,957,5740,13637
B08,渣甸山,149,311,277,277,347,529,589,828,800,635,485,812,6039,15200
B09,樂活,125,313,254,287,330,433,545,706,688,616,474,650,5421,14677
B10,跑馬地,75,146,169,300,467,559,568,525,527,516,477,997,5326,14090
B11,司徒拔道,92,194,202,223,288,418,447,549,562,578,533,944,5030,14203
B12,修頓,95,223,244,268,350,420,431,473,483,511,412,802,4712,14597
B13,大佛口,75,189,235,266,325,449,403,494,543,483,432,903,4797,13346
C01,太古城西,224,435,490,531,647,747,810,1047,1024,1071,814,1084,8924,18269
C02,太古城東,209,473,496,528,733,892,895,1104,1156,1134,943,1459,10022,19530
C03,鯉景灣,239,529,500,602,731,812,887,1090,1076,879,718,1446,9509,20803
C04,愛秩序灣,243,594,626,697,796,1031,876,1057,1169,1022,902,2428,11441,19119
C05,筲箕灣,185,409,443,491,495,543,527,753,762,612,497,846,6563,13250
C06,阿公岩,229,487,527,589,966,1233,1048,1004,963,954,952,2035,10987,19188
C07,杏花邨,411,723,556,561,654,900,1189,1767,1596,1006,592,882,10837,19267
C08,翠灣,222,432,540,650,665,670,739,1016,1017,759,611,1330,8651,13031
C09,欣藍,330,537,445,464,625,1029,1267,1438,1074,685,512,931,9337,16981
C10,小西灣,205,505,732,666,455,457,485,843,1117,957,707,1227,8356,13176
C11,景怡,389,690,527,554,654,864,1335,1710,1276,895,770,1621,11285,15934
C12,環翠,230,479,534,623,523,524,594,809,1025,978,758,1475,8552,14542
C13,翡翠,232,511,517,505,559,660,639,953,1013,941,804,1843,9177,15427
C14,柏架山,157,351,382,463,597,645,581,675,665,624,760,1385,7285,14048
C15,寶馬山,214,386,336,342,449,643,699,849,945,801,655,972,7291,16991
C16,炮台山,205,411,441,502,709,835,789,909,903,839,798,1407,8748,15917
C17,城市花園,194,391,463,517,587,750,691,804,824,813,824,1373,8231,15679
C18,和富,187,425,552,600,737,810,708,847,938,963,959,1604,9330,21058
C19,堡壘,187,298,385,449,613,691,650,668,626,663,668,1091,6989,15583
C20,錦屏,190,392,478,552,753,824,714,794,843,788,925,1601,8854,16793
C21,丹拿,172,430,464,510,668,755,773,887,856,796,702,1140,8153,15345
C22,健康村,177,411,395,374,462,592,641,841,769,687,593,1716,7658,14480
C23,鰂魚涌,159,310,386,463,560,571,535,645,675,685,580,1066,6635,13764
C24,南豐,196,423,423,565,697,768,710,937,943,818,735,1217,8432,14081
C25,康怡,224,468,422,495,588,794,843,1129,1060,899,607,841,8370,14724
C26,康山,165,451,399,451,552,640,691,986,1096,713,578,1094,7816,14958
C27,興東,363,769,675,679,725,870,1131,1539,1509,1309,1091,1876,12536,18899
C28,西灣河,225,469,496,637,706,734,793,1002,958,894,680,1182,8776,19482
C29,下耀東,300,696,621,563,548,586,650,985,987,831,697,1175,8639,16389
C30,上耀東,219,687,636,551,366,390,530,949,1071,856,715,1221,8191,12732
C31,興民,273,642,664,567,440,452,593,879,1002,883,740,1475,8610,14432
C32,樂康,218,506,471,519,522,528,591,1007,1189,858,618,1046,8073,12391
C33,翠德,239,493,414,531,593,536,626,934,945,689,460,681,7141,13349
C34,漁灣,243,535,473,429,516,628,717,990,943,723,744,1593,8534,14804
C35,佳曉,229,548,670,591,490,578,683,1034,1195,883,614,1231,8746,13343
D01,香港仔,285,658,623,849,892,900,1022,1245,1167,957,722,1115,10435,19698
D02,鴨脷洲邨,208,457,396,495,605,671,640,775,764,894,889,1704,8498,12478
D03,鴨脷洲北,210,379,354,372,408,570,863,911,687,428,266,545,5993,13025
D04,利東一,178,495,824,1098,800,663,521,1045,1483,1283,814,983,10187,16828
D05,利東二,110,349,589,966,635,493,498,713,1205,1121,810,1529,9018,13307
D06,海怡東,352,551,371,382,477,670,959,1356,1048,648,375,553,7742,15340
D07,海怡西,377,650,475,432,514,707,948,1552,1233,739,424,513,8564,16036
D08,華貴,218,564,714,688,642,742,882,1305,1277,990,807,2062,10891,14737
D09,華富南,195,475,393,433,350,466,605,699,709,734,645,1936,7640,12429
D10,華富北,279,546,551,507,463,615,738,799,862,807,765,1786,8718,14296
D11,薄扶林,139,289,277,289,415,590,671,814,716,688,520,513,5921,19996
