選區編號,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:
N01,199,373,233,261,256,409,569,699,523,349,349,348,4478
N02,118,250,169,181,159,237,309,414,366,307,307,166,2824
N03,112,288,305,529,290,200,231,323,620,616,616,524,4377
N05,147,745,737,291,119,101,225,641,758,462,462,288,4725
N08,163,230,218,316,317,365,534,596,484,276,276,123,3781
N10,109,228,312,258,241,257,318,456,333,224,224,131,2975
N11,113,198,196,188,213,285,428,508,479,287,287,363,3453
N12,138,337,393,387,266,218,291,438,663,593,593,542,4623
N13,161,343,310,376,261,287,385,608,620,464,464,351,4425
N14,111,342,550,493,159,122,193,510,781,595,595,229,4336
N15,161,338,284,195,143,177,322,550,486,295,295,267,3361
N16,77,161,154,150,125,171,322,346,360,306,306,453,2854
N17,164,346,568,317,167,225,339,602,637,347,347,177,4077
P01,80,180,171,134,146,169,227,305,295,237,237,306,2420
P02,130,350,311,385,276,277,388,627,698,353,353,219,4198
P03,231,380,401,307,201,207,355,612,555,378,378,297,4134
P04,126,324,239,218,265,168,185,246,361,436,436,402,3339
P05,130,678,720,261,134,114,161,613,781,418,418,304,4572
P06,171,346,467,746,368,304,405,535,812,644,644,417,5630
P07,128,319,357,341,185,181,249,541,659,464,464,361,4022
P08,116,274,254,441,195,146,173,309,485,562,562,416,3736
P09,77,233,280,396,242,137,159,302,586,602,602,427,3812
P11,207,643,513,391,219,228,363,743,713,554,554,475,5372
P12,170,370,313,284,329,337,566,863,581,432,432,299,4793
P13,96,211,194,232,269,352,375,497,425,324,324,211,3365
P14,118,513,549,336,154,127,180,445,690,481,481,280,4121
P16,143,343,280,350,325,329,491,719,454,291,291,189,4053
P17,138,316,266,208,232,291,419,787,647,419,419,181,4096
P19,77,133,97,129,160,245,400,480,397,259,259,110,2616
Q01,111,236,256,257,272,349,443,648,616,421,421,494,4436
Q02,64,142,141,159,195,293,376,455,383,247,247,200,2820
Q04,56,97,104,127,124,213,284,342,299,214,214,111,2114
Q05,40,90,88,93,132,182,196,287,259,180,180,123,1778
Q06,133,173,229,273,372,582,432,432,407,302,302,314,3918
Q07,61,117,124,238,596,872,698,569,352,249,249,174,4246
Q08,87,138,144,153,292,402,435,374,278,218,218,180,2845
Q09,261,371,217,135,108,247,290,411,400,283,283,160,3081
Q10,275,488,371,224,376,398,372,477,484,349,349,235,4274
Q11,120,221,229,312,620,752,574,466,367,300,300,235,4413
Q12,204,279,194,300,442,729,765,629,435,354,354,272,4863
Q13,65,122,126,330,521,633,477,434,253,167,167,134,3388
Q14,174,360,255,268,385,593,703,825,588,384,384,344,5193
Q15,88,192,169,163,173,140,211,418,405,266,266,219,2620
Q16,103,293,595,494,196,127,119,337,782,530,530,341,4257
Q17,146,426,712,524,247,225,268,568,835,563,563,460,5303
Q18,160,383,408,414,409,576,746,897,676,474,474,366,5752
Q19,247,451,438,649,840,1255,1520,1343,864,529,529,464,8966
Q20,126,489,626,396,182,186,244,586,815,646,646,574,5278
Q21,237,588,432,244,239,227,425,670,757,496,496,548,5311
Q22,174,387,373,368,351,384,481,658,669,511,511,407,5099
Q24,365,859,374,186,107,173,344,538,556,358,358,354,4513
Q25,243,330,280,292,335,512,570,621,552,504,504,610,5343
Q26,223,304,398,468,694,695,818,775,948,611,611,225,6580
R01,147,320,300,361,364,398,459,742,646,432,432,266,4674
R02,110,243,190,187,181,247,237,307,300,305,305,435,3000
R03,155,383,278,212,265,217,258,379,436,423,423,638,4131
R06,153,285,307,340,406,365,400,574,589,434,434,327,4475
R07,115,280,223,246,261,251,214,276,379,474,474,739,4032
R08,93,237,308,555,428,262,194,253,492,680,680,601,4634
R09,74,188,211,374,341,181,186,249,446,599,599,443,3741
R10,134,249,278,391,344,247,274,405,496,548,548,469,4252
R11,124,279,244,264,280,240,258,358,377,364,364,509,3617
R12,110,278,282,411,266,199,258,399,527,518,518,405,3989
R13,94,287,443,458,235,179,162,478,713,504,504,272,4102
R14,147,271,183,172,256,274,328,388,405,319,319,172,3133
R15,126,266,273,267,415,419,555,629,546,379,379,306,4427
R16,167,271,345,481,537,318,386,491,659,549,549,443,5007
R18,110,239,238,329,299,218,219,329,417,558,558,518,3879
R19,153,342,330,376,319,313,366,564,695,675,675,935,5616
R20,107,272,169,218,249,312,501,645,464,399,399,246,3837
R21,114,253,274,283,273,267,347,609,619,489,489,408,4273
R22,105,188,216,254,274,375,489,610,476,344,344,132,3607
R23,107,233,189,121,163,237,436,684,634,371,371,115,3441
R24,270,592,389,232,284,473,736,848,740,449,449,286,5499
R25,211,326,426,569,507,518,652,764,670,497,497,549,6039
R26,172,286,257,367,469,425,600,655,664,499,499,230,4931
R28,230,432,336,421,429,415,806,855,782,673,673,576,6484
R29,249,759,440,435,510,556,720,952,818,579,579,432,6897
R30,236,388,287,325,419,413,651,879,607,522,522,404,5516
R31,112,412,916,594,237,176,171,549,1048,739,739,385,5758
R32,126,339,687,769,372,245,222,490,1056,879,879,666,6391
R33,187,317,317,503,757,820,742,686,567,482,482,385,6163
R34,189,413,322,271,313,316,386,837,754,447,447,419,4973
R36,143,340,269,258,356,413,475,771,719,484,484,239,4728
R37,199,388,332,217,353,503,649,894,649,413,413,303,5157
R38,104,427,477,289,138,119,158,403,554,428,428,384,3734
