選區編號,選區,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:,選區推算人口
Q26,環保北,84,124,170,255,343,446,541,524,403,232,139,107,3368,16675
Q27,環保南,99,147,162,176,253,336,373,432,367,206,106,87,2744,16570
R01,沙田市中心,119,220,241,276,293,370,429,678,589,430,231,273,4149,19821
R02,瀝源,84,200,158,154,189,244,252,299,341,329,339,659,3248,16442
R03,禾輋邨,143,319,251,223,282,272,319,489,614,583,747,1079,5321,18329
R06,王屋,119,224,265,304,337,309,362,549,577,416,271,360,4093,17586
R07,沙角,95,260,197,231,289,278,259,357,491,710,766,1163,5096,16543
R08,博康,89,235,282,497,418,281,242,353,677,884,716,894,5568,16341
R09,乙明,70,208,227,410,363,221,215,337,606,851,629,708,4845,20609
R10,秦豐,125,262,252,417,395,304,301,500,688,789,577,732,5342,15274
R11,新田圍,97,210,176,227,288,246,283,388,411,439,462,780,4007,17028
R12,翠田,78,221,195,317,277,182,262,382,514,505,378,453,3764,15432
R13,顯嘉,87,231,397,374,200,183,174,523,819,606,325,417,4336,13242
R14,下城門,128,197,186,159,299,356,355,419,440,394,255,239,3427,18693
R15,雲城,92,196,200,232,356,346,428,612,462,360,254,373,3911,20693
R16,徑口,128,201,287,403,345,350,407,509,678,598,472,673,5051,20452
R18,翠嘉,87,219,245,279,305,217,235,377,539,690,580,792,4565,16045
R19,大圍,111,259,267,319,293,287,338,564,727,736,650,1242,5793,20765
R20,松田,113,195,130,183,216,316,464,583,453,361,252,318,3584,15032
R21,穗禾,110,207,237,253,264,250,354,584,620,532,364,523,4298,13191
R22,火炭,93,125,141,202,230,330,440,561,498,260,165,147,3192,16960
R23,駿馬,105,186,145,93,116,208,382,625,576,320,133,148,3037,14491
R24,頌安,208,427,297,188,243,433,648,810,733,435,206,348,4976,20910
R25,錦濤,163,216,294,438,426,447,574,659,599,478,331,561,5186,20813
