選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015選區推算人口
C02,太古城東,223,497,440,530,724,848,890,1157,1160,1146,852,1433,9900,19530
C03,鯉景灣,233,529,456,595,743,786,880,1123,1049,879,614,1432,9319,20803
C04,愛秩序灣,226,603,597,719,825,1003,886,1046,1131,1008,835,2394,11273,19119
C05,筲箕灣,161,421,427,459,497,503,540,747,749,609,447,853,6413,13250
C06,阿公岩,215,525,486,628,1042,1222,1025,1011,978,934,892,2005,10963,19188
C07,杏花邨,376,696,537,554,652,896,1258,1819,1511,948,514,874,10635,19267
C08,翠灣,200,448,571,660,604,686,729,1058,995,745,554,1329,8579,13031
C09,欣藍,317,527,427,447,674,1095,1314,1402,1021,667,470,908,9269,16981
C10,小西灣,171,536,734,626,451,434,515,905,1122,935,606,1242,8277,13176
C11,景怡,359,670,474,575,641,952,1426,1669,1232,859,713,1615,11185,15934
C12,環翠,210,490,500,623,508,519,589,862,1040,958,668,1475,8442,14542
C13,翡翠,220,509,513,498,579,634,669,976,998,920,766,1834,9116,15427
C14,柏架山,159,364,398,477,643,648,607,678,656,655,720,1363,7368,14048
C15,寶馬山,208,396,332,329,457,611,736,886,947,808,578,967,7255,16991
C16,炮台山,192,422,440,526,730,822,766,923,902,877,736,1392,8728,15917
C17,城市花園,165,415,474,505,602,777,728,822,870,807,755,1371,8291,15679
C18,和富,163,470,595,620,780,812,728,913,1003,993,934,1626,9637,21058
C19,堡壘,170,342,383,446,640,694,640,700,647,665,662,1080,7069,15583
C20,錦屏,174,414,498,567,791,850,728,795,862,818,874,1577,8948,16793
C21,丹拿,179,437,465,505,685,779,769,906,896,804,639,1115,8179,15345
C22,健康村,153,424,381,380,441,632,674,843,757,674,545,1758,7662,14480
C23,鰂魚涌,139,347,371,471,570,592,568,667,682,703,537,1077,6724,13764
C24,南豐,185,422,422,530,694,752,750,939,917,801,700,1199,8311,14081
C25,康怡,192,472,389,483,602,765,857,1153,1099,855,558,805,8230,14724
C26,康山,159,448,346,449,585,646,709,1049,1043,706,536,1077,7753,14958
C27,興東,324,769,676,664,740,924,1182,1553,1455,1305,974,1820,12386,18899
C28,西灣河,193,473,504,600,739,717,840,1018,956,883,612,1156,8691,19482
C29,下耀東,302,689,579,523,556,571,672,994,945,816,633,1124,8404,16389
C30,上耀東,211,725,643,505,360,390,580,1000,1016,852,643,1192,8117,12732
C31,興民,225,656,637,528,432,444,617,885,967,888,654,1511,8444,14432
C32,樂康,209,515,454,522,520,501,645,1107,1157,844,572,1032,8078,12391
C33,翠德,248,480,401,553,545,534,688,980,921,652,398,674,7074,13349
C34,漁灣,197,524,436,443,514,630,753,962,915,710,698,1555,8337,14804
C35,佳曉,217,583,647,538,478,580,708,1112,1181,825,573,1188,8630,13343
D01,香港仔,267,657,644,850,880,864,1086,1263,1136,937,645,1114,10343,19698
D02,鴨脷洲邨,188,483,408,527,597,629,672,743,794,951,815,1673,8480,12478
D03,鴨脷洲北,188,361,328,356,436,609,918,889,632,406,245,672,6040,13025
D04,利東一,169,545,882,1096,776,619,563,1106,1518,1222,745,1023,10264,16828
D05,利東二,108,372,652,946,585,487,516,772,1248,1073,747,1524,9030,13307
D06,海怡東,314,527,349,355,452,698,1003,1366,974,605,337,519,7499,15340
D07,海怡西,370,602,444,403,500,698,999,1574,1138,695,342,495,8260,16036
D08,華貴,206,624,701,653,679,750,911,1346,1249,955,750,2052,10876,14737
D09,華富南,185,484,388,401,341,483,591,701,720,710,625,1956,7585,12429
D10,華富北,231,571,524,491,481,634,734,799,857,798,733,1763,8616,14296
D11,薄扶林,122,294,281,246,430,560,689,751,738,684,475,503,5773,19996
D12,置富,224,533,491,593,585,643,823,1124,1162,1010,784,1170,9142,16062
D13,田灣,246,594,524,581,579,661,910,972,1004,801,622,1564,9058,16716
D14,石漁,226,659,699,706,623,812,912,1164,1213,1027,888,2460,11389,18474
D15,黃竹坑,187,361,363,531,845,1058,1018,959,870,703,610,1471,8976,17251
D16,海灣,76,180,147,184,194,279,385,492,505,473,376,433,3724,18417
D17,赤柱及石澳,198,388,394,415,571,825,848,1036,956,699,430,822,7582,22008
E01,尖沙咀西,110,251,192,251,375,545,561,596,435,385,247,253,4201,20881
E02,佐敦南,122,283,268,368,502,590,580,612,594,579,484,1073,6055,18327
E03,佐敦西,137,377,385,511,621,642,526,612,652,662,544,1310,6979,14818
E04,油麻地南,178,461,428,494,683,729,719,829,771,618,533,1198,7641,19918
E05,富榮,244,450,447,570,904,1221,1137,1133,860,726,672,1442,9806,17628
E06,旺角西,171,383,345,392,389,466,434,544,580,653,469,1085,5911,15423
E07,富柏,326,786,556,481,645,1015,949,1000,881,681,500,1288,9108,18820
E08,奧運,147,192,252,452,697,835,678,589,432,303,239,279,5095,18162
E09,櫻桃,148,376,390,423,440,508,405,535,581,563,381,870,5620,15676
E10,大角咀南,168,446,479,510,525,460,434,601,670,630,525,1066,6514,16214
E11,大角咀北,184,389,438,636,911,1024,861,728,592,493,426,865,7547,18474
E12,大南,205,520,510,521,567,573,558,767,737,714,538,1211,7421,20432
E13,旺角北,152,396,407,415,489,516,463,602,649,646,492,1105,6332,17859
E14,旺角東,156,317,344,388,425,542,500,576,573,588,463,1207,6079,15742
E15,旺角南,120,340,312,365,396,503,428,517,559,517,437,1120,5614,16293
E16,油麻地北,115,287,296,358,390,454,440,534,533,497,392,885,5181,12817
E17,尖東及京士柏,124,185,180,215,280,359,425,465,402,276,211,305,3427,15185
E18,尖沙咀中,72,177,220,366,498,523,502,485,473,523,524,1135,5498,16871
E19,佐敦北,71,154,171,295,416,438,377,363,322,319,303,623,3852,13558
F01,寶麗,232,525,519,480,495,560,731,894,904,630,413,1117,7500,19254
F02,長沙灣,200,454,509,525,482,541,628,801,772,597,403,800,6712,16864
F03,南昌北,164,477,455,466,406,390,408,591,611,527,414,802,5711,19807
F04,石硤尾,306,709,552,508,533,627,787,988,1188,1153,811,1913,10075,20852
F05,南昌東,188,428,480,460,443,425,478,676,682,623,469,897,6249,18487
F06,南昌南,172,452,483,456,426,470,463,626,738,623,501,994,6404,20737
F07,南昌中,137,321,367,354,366,374,417,504,531,466,345,804,4986,18413
F08,南昌西,224,489,595,553,502,456,572,790,932,674,506,1214,7507,20523
F09,富昌,509,1157,908,641,372,467,728,1069,1306,1082,662,1846,10747,20270
F10,麗閣,182,494,378,424,448,580,719,990,966,825,704,2285,8995,14379
F11,幸福,196,455,333,456,621,664,730,764,699,649,514,1323,7404,15401
F12,荔枝角南,414,851,766,673,571,667,687,965,1171,864,444,770,8843,17514
F13,美孚南,176,422,408,603,736,828,723,877,832,788,746,1425,8564,17304
F14,美孚中,147,352,383,510,660,730,557,644,723,655,662,1308,7331,14675
F15,美孚北,160,368,393,551,775,896,751,735,783,777,619,1253,8061,16929
F16,荔枝角中,179,279,296,569,1180,1410,1052,738,503,364,226,289,7085,19882
F17,荔枝角北,129,282,297,314,353,404,430,511,510,390,233,558,4411,14042
F18,元州及蘇屋,217,560,541,486,476,601,832,899,1011,858,743,3050,10274,18626
F19,李鄭屋,174,442,578,640,538,591,759,1024,1155,801,604,1961,9267,13110
F20,下白田,263,627,495,440,332,395,538,768,926,758,502,1603,7647,14701
F21,又一村,227,398,311,323,436,596,679,827,792,482,322,512,5905,16484
F22,南山、大坑東及大坑西,193,463,378,456,443,496,695,873,1015,848,690,2308,8858,16244
F23,龍坪及上白田,269,561,489,496,454,497,615,826,1025,966,663,1309,8170,16794
G01,馬頭圍,258,612,534,528,615,685,852,1136,1144,919,753,1994,10030,19205
G02,馬坑涌,256,536,507,566,698,757,784,901,764,589,493,881,7732,20012
G03,馬頭角,171,372,367,432,472,539,538,710,662,609,507,1214,6593,14990
G04,樂民,172,413,372,420,430,579,700,750,715,683,649,2061,7944,16110
G05,常樂,245,597,529,410,515,861,929,1041,933,753,684,2432,9929,16095
G06,何文田,243,531,411,471,614,909,871,1084,952,846,709,1712,9353,20651
G07,嘉道理,170,338,331,504,621,789,779,827,766,792,663,1401,7981,18756
G08,太子,184,376,307,345,472,636,630,833,779,615,430,1012,6619,16841
G09,九龍塘,226,401,319,345,567,824,829,866,747,599,509,1151,7383,19293
G10,龍城,145,309,342,394,531,553,560,682,643,552,397,1000,6108,15460
G11,宋皇臺,186,392,382,601,841,824,718,750,626,585,472,927,7304,20487
G12,啓德北,176,469,369,356,468,625,614,698,759,602,488,740,6364,16562
G13,啓德南,153,426,333,300,370,468,466,570,609,577,499,695,5466,14599
G14,海心,182,396,464,560,632,678,533,636,676,780,764,1463,7764,15823
G15,土瓜灣北,137,289,343,324,448,484,422,416,465,494,511,998,5331,13368
G16,土瓜灣南,153,325,363,450,478,545,592,629,606,553,376,856,5926,15454
G17,鶴園海逸,262,464,424,414,530,739,791,938,757,614,446,751,7130,18930
G18,黃埔東,306,633,519,537,676,835,913,1248,1128,879,589,859,9122,18187
G19,黃埔西,227,454,514,657,897,959,876,907,934,726,550,808,8509,20624
G20,紅磡灣,221,423,477,559,693,779,777,808,736,765,652,1244,8134,19607
G21,紅磡,109,253,326,369,458,432,440,499,536,501,414,1009,5346,14578
G22,家維,276,590,498,555,657,745,865,1057,1017,955,816,2196,10227,19301
G23,愛民,239,574,489,466,587,878,773,840,819,728,743,1695,8831,14736
G24,愛俊,213,616,498,538,590,649,634,848,837,955,945,1844,9167,13524
H01,龍趣,249,621,418,337,408,574,741,1055,810,605,415,1418,7651,15872
H02,龍下,148,516,516,504,461,464,723,1106,1063,723,523,1764,8511,12901
H03,龍上,366,833,667,567,494,612,939,1309,1253,1034,758,2742,11574,20477
H04,鳳凰,228,504,402,502,453,559,622,885,661,438,327,700,6281,16200
H05,鳳德,269,670,490,513,627,806,1136,1497,1258,851,648,2486,11251,16240
H06,龍星,347,821,772,703,814,1057,1286,1981,1587,829,509,1095,11801,20111
H07,新蒲崗,294,646,572,699,901,1247,1096,1124,959,854,704,1467,10563,21677
H08,東頭,230,629,577,656,617,728,820,1027,1019,844,709,1997,9853,19630
H09,東美,266,599,521,534,673,765,902,1111,1007,743,659,1958,9738,17580
H10,樂富,231,528,436,415,452,642,862,1123,974,734,492,1913,8802,14977
H11,橫頭磡,271,754,689,633,544,664,887,1182,1218,970,744,2259,10815,17303
H12,天強,236,652,554,601,586,618,850,1410,1419,877,568,1297,9668,14528
H13,翠竹及鵬程,305,767,784,860,862,856,1001,1442,1478,1036,760,2016,12167,18266
H14,竹園南,207,543,466,574,402,432,518,801,987,992,696,1957,8575,15103
H15,竹園北,205,468,648,831,755,920,1016,1157,1215,925,782,2226,11148,16098
H16,慈雲西,483,1203,831,580,456,623,886,1307,1331,1030,791,1908,11429,19020
H17,正愛,438,902,564,596,756,1183,1508,1522,1156,792,597,1285,11299,20150
H18,正安,502,1338,781,516,414,584,944,1345,1224,909,648,1940,11145,20235
H19,慈雲東,437,1095,845,654,552,593,895,1224,1258,926,589,1417,10485,20122
H20,瓊富,309,670,586,751,822,1029,1153,1439,1364,1168,889,2178,12358,19385
H21,彩雲東,284,682,441,358,453,681,797,1026,732,502,371,691,7018,13945
H22,彩雲南,217,607,454,387,497,433,502,674,752,750,656,1436,7365,12773
H23,彩雲西,245,736,531,497,580,563,592,868,962,791,675,1554,8594,13487
H24,池彩,220,554,473,747,761,699,753,1101,862,669,468,1331,8638,16110
H25,彩虹,241,707,573,404,374,431,610,950,982,831,629,2394,9126,14702
J01,觀塘中心,208,535,508,568,549,572,606,787,782,677,536,1203,7531,16076
J02,九龍灣,196,437,362,477,837,828,752,885,688,541,338,587,6928,13952
J03,啓業,151,450,410,558,530,445,513,715,870,924,768,1978,8312,16399
J04,麗晶,202,608,765,849,585,639,691,1247,1659,1151,671,1324,10391,15770
J05,坪石,187,608,371,391,372,426,599,673,722,631,635,2288,7903,13362
J06,雙彩,302,640,430,341,528,734,761,850,802,778,728,1406,8300,19162
J07,佐敦谷,343,646,472,486,570,873,944,969,902,722,626,1570,9123,19358
J08,順天,271,739,584,740,756,636,714,958,1147,1292,1132,2494,11463,18918
J09,雙順,323,645,404,509,1076,1397,1256,1101,679,657,620,1497,10164,17661
J10,安利,140,436,334,426,496,380,430,581,736,910,872,1900,7641,13453
J11,寶達,593,1299,902,615,420,617,917,1108,1305,1023,651,1530,10980,19866
J12,秀茂坪北,441,997,782,717,625,744,912,1005,1093,1007,841,2450,11614,20579
J13,曉麗,390,807,626,811,755,1009,1411,1622,1261,1004,723,1407,11826,18457
J14,秀茂坪南,302,670,437,382,492,685,694,733,753,570,523,989,7230,13909
J15,秀茂坪中,335,980,714,540,380,586,753,864,967,766,599,1601,9085,15256
J16,興田,204,672,742,800,798,847,897,1172,1188,984,795,1895,10994,17218
J17,藍田,360,797,567,542,864,1161,1069,1134,982,729,678,1855,10738,20947
J18,廣德,283,794,606,730,946,1121,1069,1177,1009,1035,1048,2723,12541,19310
J19,平田,367,1022,692,535,594,735,874,1065,1000,858,655,2102,10499,18151
J20,栢雅,279,548,412,569,571,636,1005,1226,1001,787,575,1254,8863,13410
J21,油塘東,400,879,695,559,739,1041,1146,1261,1110,881,718,1788,11217,19652
J22,油麗,362,818,600,497,524,729,701,832,836,752,635,1079,8365,18285
J23,翠翔,363,712,581,839,1519,1562,1101,936,682,584,546,991,10416,20726
J24,油塘西,340,799,632,465,496,655,794,965,999,803,817,1924,9689,20481
J25,麗港城,501,849,590,615,756,1079,1700,2090,1481,798,464,660,11583,24598
J26,景田,350,751,564,768,980,1063,1295,1524,1205,806,499,907,10712,20623
J27,翠屏,292,869,662,672,626,750,1021,1289,1197,1003,797,2703,11881,19113
J28,寶樂,217,589,520,560,560,558,851,1054,966,789,614,1759,9037,14443
J29,月華,180,436,407,539,634,650,567,679,588,623,657,1435,7395,13845
J30,協康,189,456,437,517,456,464,486,679,750,688,505,1640,7267,16713
J31,康樂,195,494,494,503,610,679,667,866,863,603,484,1224,7682,16707
J32,定安,206,616,528,498,456,544,587,879,951,875,733,2065,8938,16465
J33,牛頭角上邨,227,591,414,297,357,471,689,832,851,777,632,2625,8763,15969
J34,牛頭角下邨,230,513,562,655,535,537,574,869,1096,946,644,1299,8460,17736
J35,淘大,208,516,551,747,700,629,780,909,917,646,449,886,7938,17013
J36,樂華北,158,424,446,665,500,404,367,503,716,969,830,1602,7584,13325
J37,樂華南,155,341,379,413,406,469,512,680,698,807,700,1734,7294,13093
K01,德華,249,484,490,575,795,798,748,835,722,608,511,979,7794,21075
K02,楊屋道,187,454,499,828,971,927,768,757,687,552,463,798,7891,19935
K03,海濱,414,890,565,599,848,1024,1177,1687,1129,682,459,755,10229,19641
K04,祈德尊,193,428,422,435,584,555,605,781,710,628,564,1459,7364,14549
K05,福來,180,448,363,384,451,534,576,680,722,636,525,1933,7432,13898
K06,愉景,352,712,549,596,786,987,1256,1478,1118,670,372,575,9451,17420
K07,荃灣中心,252,492,558,733,728,709,745,957,851,676,522,747,7970,16595
K08,荃威,283,629,508,667,928,1006,920,1111,966,791,521,903,9233,19833
K09,麗濤,371,771,631,675,910,899,1054,1389,1264,893,572,757,10186,19431
K10,汀深,224,399,335,548,797,850,806,883,733,565,381,421,6942,18540
K11,荃灣西,365,666,632,686,782,812,903,1268,1086,760,505,554,9019,18672
K12,荃灣郊區,248,528,481,595,728,884,934,1187,990,739,446,617,8377,18896
K13,馬灣,97,188,261,578,844,963,668,577,496,432,262,294,5660,15126
K14,綠楊,240,533,455,599,755,859,872,1010,939,707,469,877,8315,15335
K15,梨木樹東,404,815,581,604,734,798,831,1044,1051,774,560,845,9041,19502
K16,梨木樹西,291,684,536,451,534,754,761,777,806,653,832,1932,9011,15745
K17,石圍角,198,440,322,347,436,502,528,684,756,783,785,1626,7407,12723
K18,象石,199,521,390,430,522,577,556,663,733,708,639,1317,7255,12962
L01,屯門市中心,234,595,562,797,772,674,788,1030,911,625,335,525,7848,19539
L02,兆置,348,913,838,925,906,673,846,1401,1440,1107,673,991,11061,21052
L03,兆翠,312,754,642,1127,1408,953,1126,1430,1354,1481,929,988,12504,19796
L04,安定,237,697,506,724,925,470,610,831,1204,1567,970,1280,10021,16704
L05,友愛南,271,715,449,594,694,469,513,720,896,1220,786,1018,8345,15172
L06,友愛北,260,750,459,636,839,506,527,747,845,977,664,670,7880,15090
L07,翠興,345,681,520,686,980,976,1155,1255,896,580,379,435,8888,18323
L08,山景,279,763,720,1291,729,528,607,951,1480,1304,780,1079,10511,17898
L09,景興,182,539,369,418,488,501,555,809,862,954,869,1488,8034,15315
L10,興澤,259,860,662,443,541,470,693,1399,1285,1102,778,1158,9650,16134
L11,新墟,264,683,587,545,483,472,594,955,951,657,417,964,7572,18899
L12,三聖,202,528,378,450,650,661,796,1020,938,833,542,693,7691,21287
L13,恆褔,291,601,512,645,933,921,1031,1228,1027,781,447,565,8982,20700
L14,富新,404,777,607,839,1176,1102,1205,1482,1194,1070,640,756,11252,19390
L15,悅湖,333,622,436,672,793,653,1043,1038,977,853,489,544,8453,13324
L16,兆禧,213,519,643,547,510,394,511,1156,1062,703,340,527,7125,13096
L17,湖景,262,691,498,686,612,476,545,672,967,1009,607,853,7878,13747
L18,蝴蝶,213,543,564,847,553,434,570,1001,1549,1327,822,1351,9774,17013
L19,樂翠,246,579,510,620,704,651,691,990,1012,727,390,667,7787,14544
L20,龍門,350,664,514,691,862,972,1018,1077,995,887,549,755,9334,17252
L21,新景,214,728,1081,796,519,386,595,1336,1461,970,512,772,9370,14585
L22,良景,209,999,1178,839,495,336,550,1332,1703,1021,530,689,9881,14416
L23,田景,232,1005,1182,871,696,379,733,1599,1735,1225,611,668,10936,16443
L24,寶田,157,389,415,519,616,799,876,1103,1107,876,629,952,8438,19100
L25,建生,237,786,1174,832,628,521,810,1523,1432,952,546,639,10080,16393
L26,兆康,154,447,695,995,594,398,435,910,1424,1145,599,820,8616,14963
L27,景峰,241,728,842,1156,1003,811,837,1238,1211,790,410,481,9748,19254
L28,富泰,565,1698,1319,785,588,743,1034,1506,1571,1025,533,875,12242,20436
L29,屯門鄉郊,267,600,631,705,742,657,695,953,863,612,396,582,7703,21714
M01,豐年,302,749,730,709,651,682,828,1148,997,728,481,1041,9046,19454
M02,水邊,266,609,609,720,763,855,839,1038,905,806,542,1197,9149,19277
M03,南屏,271,981,1232,895,509,474,676,1409,1513,875,499,825,10159,16800
M04,北朗,264,720,885,1102,835,789,673,1136,1389,923,510,785,10011,17016
M05,元朗中心,232,579,551,566,583,617,653,800,744,573,420,960,7278,17543
M06,元龍,160,356,420,727,844,682,604,706,565,418,259,319,6060,13959
M07,鳳翔,251,558,591,593,588,672,819,983,767,531,336,671,7360,15611
M08,十八鄉東,204,420,479,630,624,730,726,801,687,508,354,743,6906,15217
M09,十八鄉中,227,452,565,755,730,731,655,802,621,440,265,406,6649,20104
M10,十八鄉西,316,697,708,844,883,945,1027,1278,1084,731,446,825,9784,21626
M11,屏山南,236,473,504,565,571,687,852,1013,863,618,348,571,7301,16337
M12,選區推算人口,169,366,414,574,706,617,632,671,667,438,254,534,6042,14201
M13,屏山北,200,385,340,434,435,482,624,662,557,384,202,498,5203,12799
M14,廈村,198,430,504,591,561,599,681,848,773,543,365,764,6857,15364
M15,天盛,552,1029,779,811,936,1540,1590,1704,1303,932,527,950,12653,21328
M16,瑞愛,379,1545,973,805,494,442,938,1702,1525,1059,542,811,11215,18325
M17,瑞華,402,1462,903,627,322,363,710,1233,1276,802,453,708,9261,15299
M18,頌華,323,926,659,634,634,657,716,984,896,587,345,708,8069,15311
M19,悅恩,427,1058,684,431,446,582,788,1074,1055,804,537,979,8865,19339
M20,富恩,403,725,542,722,1233,1459,1164,1091,850,613,427,607,9836,19773
M21,逸澤,791,1618,952,439,366,664,1015,1414,1304,685,349,618,10215,19122
M22,天恒,843,2192,1209,505,438,704,1172,1607,1353,651,306,445,11425,22520
M23,宏逸,692,1677,874,507,531,846,1062,1389,1232,636,332,347,10125,20242
M24,晴景,387,787,467,519,703,939,924,1030,814,607,448,756,8381,19925
M25,嘉湖北,333,630,550,616,794,1093,1278,1369,1106,835,617,912,10133,23223
M26,慈祐,333,926,711,592,427,472,782,1251,1229,836,538,1017,9114,14265
M27,耀祐,310,1222,791,572,467,359,667,1233,1217,837,458,618,8751,14029
M28,天耀,221,1089,836,538,343,295,572,1127,1281,779,485,633,8199,14424
M29,嘉湖南,310,628,450,522,598,763,924,1095,840,621,461,720,7932,17332
M30,頌栢,252,533,457,640,745,862,812,978,772,561,354,552,7518,15681
M31,錦綉花園,256,527,434,494,593,604,809,1163,1088,821,495,722,8006,16460
M32,新田,297,614,509,571,644,723,878,1132,1082,815,500,998,8763,20990
M33,錦田,148,335,333,494,504,532,632,687,563,437,267,478,5410,13462
M34,八鄉北,191,398,412,533,538,613,631,756,701,440,249,643,6105,13208
M35,八鄉南,274,595,563,697,847,881,1016,1203,1075,704,398,923,9176,19645
N01,聯和墟,459,907,534,663,694,933,1238,1454,1131,744,505,909,10171,19439
N02,粉嶺市,275,558,359,396,396,506,725,942,732,476,288,531,6184,13501
N03,祥華,289,763,798,1443,900,614,660,898,1532,1391,759,1387,11434,17874
N04,華都,505,1174,767,777,596,835,1376,1556,1302,900,491,890,11169,19452
N05,華明,299,1646,1763,636,385,310,688,1758,1817,989,459,837,11587,17151
N06,欣盛,676,1611,1053,885,657,849,1419,1810,1577,1039,634,1058,13268,20102
N07,盛福,458,1188,755,622,458,473,893,1320,1274,940,531,921,9833,14982
N08,粉嶺南,308,523,399,576,513,681,886,1047,730,417,219,266,6565,15365
N09,清河,600,997,455,391,577,940,911,981,870,625,442,800,8589,20610
N10,御太,255,648,876,604,536,513,631,1062,885,499,260,462,7231,17154
N11,上水鄉郊,300,653,609,658,715,904,1020,1274,1097,782,497,1275,9784,21578
N12,彩園,288,853,798,897,571,471,631,1019,1501,1359,870,1758,11016,17909
N13,石湖墟,338,756,637,779,637,636,772,1197,1223,945,500,934,9354,19736
N14,天平西,266,834,1201,1339,474,323,460,1218,1803,1145,511,665,10239,15062
N15,鳳翠,369,842,645,552,486,567,766,1252,1032,630,335,828,8304,14972
N16,沙打,255,618,509,595,582,666,863,939,940,754,469,1306,8496,14263
N17,天平東,282,838,1221,850,444,513,710,1391,1408,725,368,526,9276,17298
N18,皇后山,282,522,476,566,615,761,900,1061,992,644,429,1152,8400,17962
P01,大埔墟,181,480,397,378,400,466,514,655,703,559,362,1123,6218,16037
P02,大埔中,261,652,545,707,507,537,683,1108,1173,595,280,498,7546,14109
P03,頌汀,316,945,801,650,455,467,712,1320,1179,715,445,797,8802,14946
P04,大元,274,791,573,608,702,519,535,686,890,1097,827,1172,8674,14379
P05,富亨,272,1511,1592,792,473,352,521,1614,1774,1053,568,887,11409,16576
P06,怡富,287,697,961,1667,800,570,710,1090,1696,1355,771,1061,11665,16606
P07,富明新,261,702,679,709,502,466,594,1175,1384,933,504,1081,8990,14282
P08,廣福及寶湖,228,623,577,1023,539,374,441,707,1227,1245,730,925,8639,13459
P09,宏福,195,529,548,899,578,360,391,677,1284,1257,654,1063,8435,12744
P10,大埔滘,358,642,499,502,568,677,903,1269,1041,672,369,449,7949,19556
P11,運頭塘,360,1328,1022,859,618,560,818,1559,1589,1130,616,1127,11586,17024
P12,新富,371,777,587,625,639,680,971,1447,1162,740,463,764,9226,16714
P13,林村谷,406,803,649,725,771,925,1078,1541,1281,829,425,780,10213,21098
P14,寶雅,254,1047,1250,904,501,379,545,1424,1637,1000,552,947,10440,14902
P15,太和,199,914,1507,1182,549,393,414,1233,1774,1064,583,993,10805,15623
P16,舊墟及太湖,323,631,519,616,569,632,895,1236,839,480,251,493,7484,15455
P17,康樂園,335,668,552,511,544,619,760,1165,971,608,362,562,7657,20783
P18,船灣,318,637,415,525,567,821,996,1258,1083,684,381,652,8337,20509
P19,西貢北,217,396,279,326,418,532,789,907,721,497,259,413,5754,15475
Q01,西貢市中心,164,378,336,438,495,583,617,753,716,525,376,819,6200,11755
Q02,白沙灣,196,429,376,442,562,665,853,973,862,563,357,658,6936,18728
Q03,西貢離島,108,259,214,244,320,359,456,612,560,403,234,516,4285,13103
Q04,坑口東,129,319,258,300,346,460,592,737,607,428,304,377,4857,15821
Q05,坑口西,210,456,334,421,554,633,725,959,712,491,301,492,6288,15591
Q06,寶怡,240,521,470,614,893,1197,880,905,798,651,537,882,8588,16781
Q07,維景,149,233,224,405,895,1363,1060,875,508,371,304,318,6705,15002
Q08,都善,217,357,308,344,575,766,729,729,526,409,300,408,5668,15314
Q09,健明,611,1102,650,335,398,737,819,1017,959,621,373,418,8040,16592
Q10,彩健,575,1338,964,596,813,954,870,1151,1175,828,498,653,10415,19908
Q11,澳唐,256,452,423,690,1305,1492,1130,922,719,587,411,590,8977,18262
Q12,富君,423,603,436,643,868,1410,1425,1167,811,624,469,737,9616,19951
Q13,軍寶,162,246,245,528,872,1011,757,660,417,283,200,269,5650,13726
Q14,南安,316,666,541,599,781,1028,1240,1469,1007,619,480,789,9535,17506
Q15,康景,355,777,678,849,1062,1159,1197,1605,1308,825,586,935,11336,20623
Q16,翠林,213,726,1434,1315,573,417,375,1012,1826,1230,715,873,10709,16311
Q17,寶林,190,848,1435,1152,498,394,372,1165,1927,1232,665,1135,11013,16722
Q18,欣英,271,795,758,816,809,1069,1141,1679,1304,809,537,1099,11087,19431
Q19,運亨,338,577,505,663,841,1336,1692,1486,937,643,395,725,10138,21169
