選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015選區推算人口
A01,中環,93,172,198,254,297,376,435,492,497,416,375,726,4331,13850
A02,半山東,145,299,285,370,465,617,656,896,878,668,482,864,6625,18828
A03,衛城,150,356,286,344,503,654,729,971,852,684,490,830,6849,18859
A04,山頂,81,281,250,268,312,441,499,706,694,629,492,654,5307,20324
A05,大學,176,453,404,444,571,689,768,983,982,881,654,1102,8107,19010
A06,堅摩,162,369,378,470,668,765,708,819,729,610,441,890,7009,16920
A07,觀龍,176,429,487,588,613,664,778,907,825,716,620,1402,8205,15188
A08,西環,175,412,454,522,643,730,624,830,851,719,548,998,7506,14789
A09,寶翠,231,520,546,571,776,963,1066,1248,1041,916,637,1184,9699,21195
A10,石塘咀,169,445,489,586,616,674,661,766,857,781,636,1250,7930,17176
A11,西營盤,164,382,448,520,572,595,571,678,793,761,579,1230,7293,14528
A12,上環,132,385,425,476,554,574,621,655,759,650,494,923,6648,17550
A13,東華,117,269,264,362,436,513,477,626,574,458,353,718,5167,13051
A14,正街,152,378,389,473,489,575,560,777,836,662,462,884,6637,16227
A15,水街,184,386,441,509,593,582,655,829,825,706,559,965,7234,15142
B01,軒尼詩,85,245,306,293,366,415,427,474,522,486,390,937,4946,13207
B02,愛群,114,248,322,407,436,514,474,546,599,596,518,1211,5985,14442
B03,鵝頸,81,211,227,316,392,428,397,447,494,518,462,996,4969,13514
B04,維園,112,303,293,406,553,545,510,628,610,599,600,1111,6270,14642
B05,天后,118,293,329,430,489,654,519,613,672,735,763,1667,7282,14156
B06,銅鑼灣,73,180,221,299,411,444,431,448,487,517,481,1176,5168,13655
B07,大坑,98,235,207,323,443,561,611,701,619,545,383,969,5695,13637
B08,渣甸山,134,325,265,293,345,536,599,841,804,630,438,783,5993,15200
B09,樂活,128,315,242,271,325,417,542,699,684,624,424,637,5308,14677
B10,跑馬地,66,138,164,320,449,583,563,550,518,519,467,1013,5350,14090
B11,司徒拔道,83,207,203,217,300,403,469,549,613,590,490,959,5083,14203
B12,修頓,94,223,225,271,374,416,428,502,483,516,397,797,4726,14597
B13,大佛口,84,194,241,269,379,446,459,520,567,503,421,929,5012,13346
C01,太古城西,195,443,488,525,631,755,813,1074,1028,1086,713,1065,8816,18269
