選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015推算人口
G07,嘉道理,34,9,19,-48,55,-18,17,20,22,-28,50,20,152,18756
G08,太子,12,-7,2,-3,-20,8,-30,-30,-30,12,37,-13,-62,16841
G09,九龍塘,10,-13,24,12,-5,-27,13,-8,32,11,16,1,66,19293
G10,龍城,17,-28,-21,-4,-18,-17,-2,-61,13,-21,46,-24,-120,15460
G11,宋皇臺,25,-8,23,-52,-15,43,33,6,1,-28,35,13,76,20487
G12,啓德北,49,34,57,35,22,91,74,53,91,5,76,52,639,16562
G13,啓德南,37,30,59,11,47,77,39,27,78,-1,70,57,531,14599
G14,海心,2,-6,-21,1,15,4,0,-30,-24,-41,37,-10,-73,15823
G15,土瓜灣北,15,4,-20,12,-22,-3,8,4,-21,-15,6,8,-24,13368
G16,土瓜灣南,-2,-7,8,-31,-11,-30,-19,-8,-1,9,33,-37,-96,15454
G17,鶴園海逸,16,1,43,-4,8,25,-54,2,20,3,57,12,129,18930
G18,黃埔東,9,41,62,0,12,30,-28,-41,30,34,52,38,239,18187
G19,黃埔西,19,21,15,63,49,35,-26,19,1,12,40,29,277,20624
G20,紅磡灣,23,7,-2,10,-26,6,6,-8,6,-8,31,44,89,19607
G21,紅磡,-4,-2,-7,-22,-25,-26,-1,-34,-23,-23,-9,-124,-300,14578
G22,家維,15,29,32,10,19,13,-1,-23,41,-5,55,10,195,19301
G23,愛民,2,-17,-26,21,-17,-20,39,-1,-5,15,22,52,65,14736
G24,愛俊,10,-22,15,-17,-16,35,-13,-36,18,-28,32,64,42,13524
H01,龍趣,47,-5,43,14,-18,26,3,34,46,7,36,-6,227,15872
H02,龍下,18,-27,7,-3,7,19,-63,-64,30,45,35,-8,-4,12901
H03,龍上,41,17,52,2,3,5,-52,-10,59,8,52,-34,143,20477
H04,鳳凰,5,-6,17,-22,20,-10,-54,-29,33,12,15,-10,-29,16200
H05,鳳德,21,-9,50,8,-39,-2,-108,18,26,50,21,-13,23,16240
H06,龍星,12,-31,12,22,-45,-21,-81,-86,126,59,22,12,1,20111
H07,新蒲崗,36,-33,15,-4,-23,-34,-13,35,-1,3,53,13,47,21677
H08,東頭,39,-14,19,15,-7,20,-20,27,38,40,68,17,242,19630
H09,東美,20,4,16,12,-6,56,-8,34,22,37,38,17,242,17580
H10,樂富,42,3,8,4,9,-14,-56,-27,56,8,34,-24,43,14977
H11,橫頭磡,33,-30,19,-6,10,-6,-72,11,38,36,32,12,77,17303
H12,天強,43,-36,26,26,4,12,-73,-90,62,47,62,8,91,14528
H13,翠竹及鵬程,-7,-14,40,-23,-27,20,-71,-53,26,23,71,8,-7,18266
H14,竹園南,50,-11,27,-16,22,22,-25,-28,5,10,57,-18,95,15103
H15,竹園北,32,-13,-28,-53,30,-41,-13,-12,19,25,16,29,-9,16098
H16,慈雲西,12,-1,101,51,0,-36,-32,-39,48,37,47,8,196,19020
H17,正愛,44,46,58,-34,-36,-34,-23,79,93,10,57,23,283,20150
H18,正安,17,2,118,33,-14,-24,-31,-49,65,52,67,-23,213,20235
H19,慈雲東,99,-20,59,46,13,17,-46,12,36,49,68,25,358,20122
H20,瓊富,31,-6,19,17,-29,-19,-36,-10,34,-3,66,8,72,19385
H21,彩雲東,16,-13,67,9,-14,9,-7,-3,52,25,42,9,192,13945
H22,彩雲南,17,-26,44,6,-3,47,-28,-3,-26,3,35,30,96,12773
H23,彩雲西,1,0,45,-17,11,-4,-3,-5,-6,48,18,28,116,13487
H24,池彩,26,2,1,-26,23,65,-34,-41,79,-4,33,-3,121,16110
H25,彩虹,31,-10,56,26,10,20,-17,-17,34,-12,85,-35,171,14702
J01,觀塘中心,10,-32,8,14,-21,-34,8,-51,25,-10,26,-22,-79,16076
J02,九龍灣,47,-10,1,15,-79,61,-31,9,20,-16,40,-3,54,13952
J03,啓業,17,-22,17,-20,46,34,-36,-13,-14,-42,54,7,28,16399
J04,麗晶,19,-70,12,23,30,-8,-47,-129,-14,51,81,-32,-84,15770
J05,坪石,19,-21,16,5,8,2,-12,6,-5,23,1,-1,41,13362
J06,雙彩,63,25,58,18,-15,9,65,39,56,-45,91,53,417,19162
J07,佐敦谷,64,47,36,-2,14,29,55,71,74,3,62,22,475,19358
J08,順天,50,-13,31,-34,-17,39,-28,9,-13,-12,72,64,148,18918
J09,雙順,39,-4,36,-13,-110,-29,19,50,-3,11,11,15,22,17661
J10,安利,1,21,15,-40,6,7,0,-4,-19,-45,29,14,-15,13453
J11,寶達,72,-22,99,51,5,-12,-28,17,16,82,81,1,362,19866
J12,秀茂坪北,43,-7,36,-7,-14,-6,16,-7,14,26,33,52,179,20579
J13,曉麗,18,-14,18,-43,-5,-63,-87,6,57,10,63,17,-23,18457
J14,秀茂坪南,60,18,32,21,-9,41,3,24,45,22,28,26,311,13909
J15,秀茂坪中,48,-55,60,15,5,-24,-16,3,-14,24,33,-1,78,15256
J16,興田,35,-13,4,-12,-24,16,-38,-44,34,-29,39,68,36,17218
J17,藍田,66,31,21,0,-56,32,33,51,44,73,17,35,347,20947
J18,廣德,29,-48,49,-34,-33,-9,5,1,36,-5,36,2,29,19310
J19,平田,46,-48,69,6,-20,23,-20,7,45,13,63,18,202,18151
J20,栢雅,-1,-6,37,-39,8,-14,-80,28,18,48,40,17,56,13410
J21,油塘東,82,1,49,0,-25,-2,-15,19,28,59,40,9,245,19652
J22,油麗,74,-25,74,4,-2,42,8,23,67,12,58,65,400,18285
J23,翠翔,58,5,18,-75,-71,143,45,65,10,-6,16,28,236,20726
J24,油塘西,60,-37,68,24,-5,-8,6,-6,20,-16,47,-6,147,20481
J25,麗港城,50,27,50,23,18,-4,-138,33,121,108,56,28,372,24598
J26,景田,64,3,66,-37,28,-18,-61,51,26,50,46,21,239,20623
J27,翠屏,27,-31,74,-15,-5,-20,-38,-10,58,8,65,-33,80,19113
J28,寶樂,39,-15,53,-5,-6,3,-61,30,18,21,58,-9,126,14443
J29,月華,11,-14,22,-10,-18,-2,6,-19,18,-1,-13,46,26,13845
J30,協康,2,-30,36,-14,4,-5,-5,-32,25,-12,73,-10,32,16713
J31,康樂,16,-3,4,17,-15,-47,10,-33,-16,32,42,10,17,16707
J32,定安,-2,-71,43,4,10,-19,-24,-25,29,-17,51,5,-16,16465
J33,牛頭角上邨,42,-19,58,20,-9,8,-18,9,4,36,57,-23,165,15969
J34,牛頭角下邨,46,35,57,48,68,124,96,45,63,87,125,126,920,17736
J35,淘大,15,-2,18,13,-6,-13,-64,-9,-6,41,35,10,32,17013
J36,樂華北,13,-13,-34,-21,21,48,-11,-25,-3,-44,37,68,36,13325
J37,樂華南,27,9,-23,-26,23,26,-16,9,-2,-35,76,63,131,13093
K01,德華,-3,28,1,6,-58,1,26,-2,-14,6,25,-31,-15,21075
K02,楊屋道,33,-21,31,11,-14,48,8,19,34,4,5,25,183,19935
K03,海濱,40,47,55,33,-26,4,-54,-59,112,35,49,32,268,19641
K04,祈德尊,22,-19,14,-3,-40,26,-55,7,18,-18,8,36,-4,14549
K05,福來,23,-22,36,1,-33,-8,-27,24,9,-15,19,-29,-22,13898
K06,愉景,-5,13,78,67,-17,20,-66,26,77,34,53,20,300,17420
K07,荃灣中心,-2,-16,36,33,31,-1,-45,-54,2,-11,49,10,32,16595
K08,荃威,21,11,16,5,-28,33,10,0,-2,34,47,17,164,19833
K09,麗濤,-3,17,36,6,-5,-3,-82,-21,21,20,55,-9,32,19431
K10,汀深,26,23,40,11,48,65,52,8,44,57,39,33,446,18540
