選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,61-65,66-70,71+,新增登記選民,2015 推算人口
H05,鳳德,100,39,29,19,11,24,16,23,8,8,8,2,7,294,16240
E03,佐敦西,48,24,23,26,36,22,26,17,13,19,19,8,12,293,14818
C10,小西灣,72,45,46,26,11,18,11,17,13,5,5,11,12,292,13176
C35,佳曉,69,48,37,34,18,15,19,15,15,4,4,5,9,292,13343
A11,西營盤,55,29,30,18,23,27,20,18,18,15,15,15,9,292,14528
J29,月華,53,33,22,27,27,25,18,18,21,13,13,8,13,291,13845
J01,觀塘中心,71,27,27,28,10,25,19,15,14,21,21,5,7,290,16076
C30,上耀東,66,33,37,17,12,19,19,15,15,17,17,14,9,290,12732
F21,又一村,71,34,23,20,22,22,23,24,14,12,12,4,8,289,16484
D14,石漁,91,34,21,14,22,25,17,23,11,7,7,8,8,288,18474
L17,湖景,105,48,23,27,21,17,12,8,16,4,4,2,0,287,13747
D13,田灣,68,33,30,22,24,21,13,17,11,15,15,3,15,287,16716
C09,欣藍,97,31,23,15,21,25,27,11,13,9,9,2,3,286,16981
J20,栢雅,82,33,16,17,17,18,23,25,11,14,14,6,10,286,13410
T01,大嶼山,58,18,20,21,32,30,30,29,16,10,10,4,8,286,19207
G09,九龍塘,64,17,29,18,31,28,33,21,16,8,8,6,6,285,19293
H10,樂富,101,30,24,22,17,16,16,15,11,7,7,6,12,284,14977
K05,福來,74,24,36,19,15,20,16,21,20,8,8,7,16,284,13898
D09,華富南,55,42,24,20,24,14,27,23,7,15,15,10,8,284,12429
T06,愉景灣,23,11,13,11,34,41,32,36,23,20,20,11,9,284,13390
M12,屏山中,65,29,13,38,24,23,21,23,18,10,10,6,3,283,14201
K17,石圍角,53,31,23,22,26,22,26,22,12,12,12,7,15,283,12723
E16,油麻地北,46,35,24,34,21,27,20,16,14,15,15,6,10,283,12817
C24,南豐,70,17,23,30,26,27,14,14,19,13,13,9,6,281,14081
C33,翠德,67,33,21,25,32,22,15,25,16,8,8,4,4,280,13349
S29,長安,36,28,65,57,14,13,9,11,16,8,8,7,8,280,13832
S14,荔華,76,35,38,19,21,25,14,11,12,9,9,4,6,279,14771
J10,安利,51,38,31,14,22,21,23,22,23,9,9,9,7,279,13453
L26,兆康,44,23,47,43,31,21,12,20,5,8,8,4,10,276,14963
H04,鳳凰,70,28,29,33,19,21,14,16,17,4,4,9,11,275,16200
C15,寶馬山,55,20,32,14,28,33,24,18,12,11,11,8,9,275,16991
E19,佐敦北,26,18,22,22,42,36,29,22,16,11,11,14,6,275,13558
J36,樂華北,55,29,25,16,22,21,16,19,16,13,13,7,22,274,13325
B04,維園,44,22,38,22,27,19,26,15,15,10,10,9,17,274,14642
G03,馬頭角,61,25,31,34,18,19,14,18,14,10,10,12,5,271,14990
C23,鰂魚涌,51,27,18,25,22,19,20,17,11,16,16,14,13,269,13764
C14,柏架山,44,25,17,22,20,18,24,20,12,17,17,19,14,269,14048
J04,麗晶,71,17,41,36,31,14,11,19,7,8,8,3,2,268,15770
C26,康山,57,29,31,22,21,22,25,18,11,8,8,5,11,268,14958
A14,正街,42,24,24,26,27,27,16,31,11,9,9,4,18,268,16227
D03,鴨脷洲北,74,24,24,13,30,25,19,14,12,7,7,8,8,265,13025
D02,鴨脷洲邨,64,23,11,28,34,28,27,13,10,5,5,9,8,265,12478
A04,山頂,56,12,20,16,17,32,20,27,19,16,16,8,6,265,20324
M08,十八鄉東,58,28,21,29,23,13,14,28,19,7,7,7,6,260,15217
A03,衛城,51,19,19,23,29,27,21,16,15,13,13,9,5,260,18859
B09,樂活,34,27,16,15,18,25,39,22,20,15,15,7,7,260,14677
M33,錦田,56,26,28,21,31,19,20,22,9,9,9,6,3,259,13462
G08,太子,67,30,27,18,19,23,18,21,10,9,9,2,5,258,16841
E15,旺角南,38,18,26,22,32,23,21,23,11,13,13,7,11,258,16293
Q03,西貢離島,44,21,21,20,12,23,24,29,21,12,12,9,7,255,13103
Q04,坑口東,60,16,11,14,20,21,34,33,16,10,10,4,5,254,15821
A15,水街,45,24,36,28,21,18,17,18,15,8,8,3,13,254,15142
C22,健康村,62,30,23,13,16,24,13,17,16,9,9,2,17,251,14480
A02,半山東,42,28,19,25,30,29,18,19,17,8,8,4,4,251,18828
M34,八鄉北,58,26,22,18,23,17,23,19,18,9,9,4,4,250,13208
G15,土瓜灣北,50,22,22,22,22,25,18,17,12,12,12,8,6,248,13368
C08,翠灣,68,30,19,17,25,19,29,14,10,7,7,1,1,247,13031
B08,渣甸山,50,22,21,14,16,24,26,18,16,8,8,7,16,246,15200
C32,樂康,61,31,30,25,23,20,12,16,10,3,3,3,5,242,12391
D04,利東一,55,36,37,26,16,20,12,11,8,8,8,1,4,242,16828
A13,東華,34,15,22,18,31,31,19,24,17,8,8,4,10,241,13051
D08,華貴,56,27,29,19,15,19,18,14,11,9,9,6,7,239,14737
F19,李鄭屋,54,29,37,22,14,14,14,16,15,4,4,6,8,237,13110
B07,大坑,38,22,32,13,22,37,27,9,12,7,7,5,6,237,13637
B10,跑馬地,33,12,14,16,41,23,20,12,9,17,17,10,9,233,14090
H02,龍下,61,31,16,15,24,16,14,18,13,6,6,2,5,227,12901
G21,紅磡,33,20,35,22,24,15,21,17,12,7,7,8,6,227,14578
B02,愛群,45,24,21,18,18,26,16,20,12,7,7,5,5,224,14442
B01,軒尼詩,34,11,20,22,24,20,19,23,10,11,11,6,10,221,13207
E17,尖東及京士柏,40,20,22,18,14,18,18,24,8,14,14,8,2,220,15185
D05,利東二,44,22,30,27,15,11,12,16,5,6,6,10,7,211,13307
B05,天后,25,21,24,19,16,30,17,14,15,6,6,4,13,210,14156
D15,黃竹坑,50,22,16,10,19,21,18,23,5,4,4,3,8,203,17251
B03,鵝頸,38,18,17,17,19,20,16,12,10,13,13,2,3,198,13514
B12,修頓,25,19,16,17,14,15,15,19,14,14,14,2,5,189,14597
D16,海灣,25,18,8,10,15,27,33,19,9,5,5,8,3,185,18417
A01,中環,35,7,10,17,18,15,19,23,13,6,6,6,4,179,13850
T09,長洲南,52,22,19,16,10,13,7,6,8,4,4,4,7,172,11108
B11,司徒拔道,28,12,13,6,13,32,17,14,8,7,7,2,0,159,14203
B13,大佛口,16,14,18,15,21,14,9,18,9,6,6,5,5,156,13346
T10,長洲北,44,14,17,7,11,12,11,5,7,4,4,2,8,146,11082
B06,銅鑼灣,27,9,11,17,21,8,18,13,4,3,3,5,6,145,13655
T07,坪洲及喜靈洲,24,8,7,10,6,4,2,7,0,2,2,2,0,74,7376
T08,南丫及蒲台,15,4,4,7,10,4,9,7,6,1,1,2,2,72,6183
