選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,61-65,66-70,71+,新增登記選民,2015 推算人口
R30,錦英,152,56,50,41,50,36,29,32,14,11,11,17,24,523,17726
J26,景田,149,55,54,32,43,38,38,41,20,14,14,13,12,523,20623
R22,火炭,98,49,48,49,61,54,35,41,25,21,21,7,12,521,16960
F12,荔枝角南,192,65,45,27,25,36,28,28,27,15,15,7,9,519,17514
J21,油塘東,180,52,33,18,33,43,24,28,26,25,25,9,23,519,19652
T04,東涌北,59,28,41,62,66,55,53,32,27,35,35,13,12,518,22450
K15,梨木樹東,137,42,50,31,38,51,38,35,23,23,23,7,19,517,19502
R02,瀝源,106,57,46,32,37,50,31,33,33,27,27,13,25,517,16442
J08,順天,128,37,38,26,32,35,29,31,31,32,32,29,35,515,18918
K03,海濱,153,79,47,34,36,42,33,27,19,11,11,13,9,514,19641
N17,天平東,96,53,81,60,32,31,26,38,30,21,21,13,12,514,17298
S16,興芳,114,60,54,46,60,50,32,42,21,8,8,9,7,511,20293
H18,正安,177,79,40,24,18,27,20,29,22,18,18,16,22,510,20235
L02,兆置,135,54,55,43,35,31,25,32,24,19,19,12,24,508,21052
Q14,南安,127,59,47,41,46,64,37,26,28,5,5,6,16,507,17506
P01,大埔墟,82,38,41,37,37,54,35,26,43,32,32,21,28,506,16037
L29,屯門鄉郊,94,34,42,61,55,41,32,47,33,16,16,14,20,505,21714
R06,王屋,86,48,68,75,45,44,32,26,15,23,23,7,12,504,17586
E07,富柏,137,57,34,33,36,49,26,31,19,21,21,12,21,497,18820
R28,富龍,131,55,59,53,33,35,25,33,23,13,13,10,14,497,16979
Q11,澳唐,109,47,36,52,74,57,38,31,14,14,14,5,6,497,18262
Q17,寶林,69,52,95,80,18,16,19,26,31,18,18,20,35,497,16722
Q25,廣明,175,72,37,28,29,37,38,26,14,8,8,8,16,496,18555
J14,秀茂坪南,130,40,31,29,37,55,38,30,16,26,26,19,19,496,13909
M20,富恩,172,47,26,37,34,41,41,32,20,14,14,4,13,495,19773
S19,安灝,119,55,78,55,25,27,28,26,22,21,21,11,6,494,20850
N05,華明,85,88,125,31,16,16,13,35,21,25,25,5,9,494,17151
R32,恒安,65,46,77,108,48,13,21,21,34,19,19,9,13,493,21864
M19,悅恩,178,46,32,22,16,30,33,27,31,27,27,13,10,492,19339
N03,祥華,104,49,62,62,36,33,27,29,13,27,27,10,12,491,17874
J19,平田,129,48,36,17,33,35,40,33,26,26,26,13,28,490,18151
E04,油麻地南,74,49,55,41,46,44,37,30,19,21,21,20,33,490,19918
R05,愉城,86,44,59,79,52,39,33,24,19,16,16,10,12,489,15363
F20,下白田,90,44,41,18,23,22,29,34,30,37,37,25,58,488,14701
K02,楊屋道,76,33,48,48,61,47,37,29,31,24,24,16,14,488,19935
K12,荃灣郊區,90,55,35,53,53,40,40,35,31,14,14,13,14,487,18896
J24,油塘西,145,44,35,40,34,44,26,27,22,21,21,15,12,486,20481
S18,葵盛西邨,105,59,50,25,39,38,29,32,28,21,21,16,23,486,18254
K06,愉景,101,55,48,41,36,47,47,38,27,13,13,9,11,486,17420
K10,汀深,71,37,41,47,55,57,55,30,24,19,19,22,9,486,18540
