票站地址,,
香港西營盤高街119號,22.285334,114.139762
香港皇后大道西470號石塘咀市政大廈5樓,22.285551,114.136164
香港西營盤第三街96號地下,22.285684,114.141128
香港上環新街12-20號,22.285756,114.146675
香港太古城太裕路5號興安閣平台512-513號,22.286412,114.214092
香港鰂魚涌太古城太榮路2號南海閣平台,22.286519,114.2173354
香港太古城太豐路1-3號金星閣地下G1020-1022號,22.286686,114.218763
香港上環德輔道中322-324號西區電話機樓1樓,22.28676,114.150187
香港北角雲景道81號,22.287369,114.199653
新界大嶼山東涌富東邨第3期第10區,22.287374,113.942509
香港北角炮台山道30號,22.287505,114.194889
香港德輔道西246號東慈商業中心3樓,22.287757,114.141665
香港銅鑼灣福蔭道7號,22.288454,114.191085
香港鰂魚涌英皇道888號,22.288903,114.209445
新界大嶼山沙螺灣涌口17號,22.288977,113.920259
香港北角長康街19號,22.289176,114.19584
香港西營盤東邊街北18號,22.289593,114.143722
新界大嶼山東涌文東路39號東涌市政大樓地下,22.290545,113.943785
香港北角百福道4號,22.290745,114.20516
香港北角丹拿道53號港運城2樓,22.290902,114.202345
香港北角城市花園道2號,22.291705,114.194375
香港北角馬寶道82號,22.292005,114.202658
九龍油塘鯉魚門徑6號鯉魚門市政大廈4樓,22.292066,114.238676
香港北角渣華道99號渣華道市政大廈3樓,22.29232,114.199405
九龍油塘邨第2期,22.294074,114.237564
九龍油塘高超道38號,22.295329,114.239608
新界將軍澳日出康城首都,22.29647,114.271116
九龍油塘普照路1號,22.298275,114.238043
九龍油塘高超道23號高俊苑俊滿閣地下,22.298554,114.241669
九龍油塘油塘道25號,22.299828,114.234128
九龍尖沙咀柯士甸道22號,22.301829,114.17027
新界將軍澳調景嶺澳景路88號維景灣畔第17座地庫3層,22.3021665,114.2517199
九龍紅磡灣愛景街3號,22.302357,114.187967
九龍紅磡紅樂道8號,22.303307,114.184876
九龍紅磡黃埔花園德安街30號,22.303461,114.191428
九龍藍田碧雲道170號,22.303853,114.238853
新界將軍澳至善街7號,22.304297,114.262608
新界將軍澳調景嶺翠嶺路38號,22.304636,114.25335
九龍紅磡黃埔花園第二期十八座1樓,22.304717,114.18697
新界將軍澳調景嶺嶺光街10號,22.3049339,114.2497824
九龍油麻地南京街1號B,22.306116,114.169649
九龍紅磡海逸豪園23座地下,22.306693,114.192626
九龍尖沙咀柯士甸道西1號1樓104室,22.306752,114.161535
九龍油塘茶果嶺道81號,22.307221,114.228937
九龍紅磡馬頭圍道11號紅磡市政大廈3樓,22.307347,114.187397
新界將軍澳彩明苑彩明街9號,22.307427,114.252974
新界將軍澳蓬萊路3號,22.307479,114.267587
九龍藍田安田街平田邨第1校舍,22.307548,114.237646
九龍紅磡大環道10號,22.307581,114.188019
九龍紅磡差館里16號,22.308,114.185677
九龍藍田康栢苑停車場大廈7樓,22.30802,114.237564
新界大嶼山愉景灣海澄湖畔路99號,22.308443,114.015758
九龍藍田安田街10號,22.308871,114.237109
九龍藍田啟田道71號,22.308902,114.233828
新界將軍澳唐賢里2號,22.308906,114.258612
新界將軍澳唐俊街8號,22.309348,114.259806
九龍油麻地眾坊街60號地下,22.309868,114.169712
九龍油麻地眾坊街80號,22.310139,114.17171
九龍藍田康逸苑停車場頂層,22.310358,114.2323039
九龍觀塘彩福邨彩樂樓地下,22.310369,114.222703
九龍觀塘翠屏邨第4期屋邨小學,22.3130213,114.2303757
新界將軍澳尚德邨尚美樓,22.311294,114.256668
新界將軍澳唐明街2號尚德邨,22.311524,114.260442
九龍藍田慶田街8號,22.311526,114.237551
新界將軍澳寶康路109號,22.311656,114.263268
九龍何文田忠義街1號,22.31177,114.181075
九龍藍田碧雲道223號藍田社區綜合大樓2樓,22.311835,114.240583
九龍紅磡庇利街42號九龍城政府合署高層地下,22.311984,114.18974
九龍觀塘翠屏道17號,22.312929,114.22941
九龍油麻地海泓道10號,22.31331,114.163988
九龍土瓜灣崇安街28號,22.313508,114.190411
九龍油麻地碧街51號,22.314045,114.171282
九龍觀塘月華街19號,22.314047,114.227085
九龍何文田南常樂街3號冠熹苑地下,22.314366,114.1810759
九龍觀塘秀茂坪秀明道130號,22.314963,114.233984
九龍觀塘牛頭角道189號牛頭角上邨中央廣場,22.315473,114.219571
九龍何文田何文田邨恬文樓地下,22.315518,114.182218
九龍觀塘瑞和街9號瑞和街市政大廈8樓,22.315688,114.22427
九龍何文田忠孝街89號1樓,22.316273,114.179297
九龍觀塘牛頭角道240號,22.316484,114.217953
