選區編號,選區,選區推算人口(2015)
K17,石圍角,"12,723"
K18,象石,"12,962"
L01,屯門市中心,"19,539"
L02,兆置,"21,052"
L03,兆翠,"19,796"
L04,安定,"16,704"
L05,友愛南,"15,172"
L06,友愛北,"15,090"
L07,翠興,"18,323"
L08,山景,"17,898"
L09,景興,"15,315"
L10,興澤,"16,134"
L11,新墟,"18,899"
L12,三聖,"21,287"
L13,恆褔,"20,700"
L14,富新,"19,390"
L15,悅湖,"13,324"
L16,兆禧,"13,096"
L17,湖景,"13,747"
L18,蝴蝶,"17,013"
L19,樂翠,"14,544"
L20,龍門,"17,252"
L21,新景,"14,585"
L22,良景,"14,416"
L23,田景,"16,443"
L24,寶田,"19,100"
L25,建生,"16,393"
L26,兆康,"14,963"
L27,景峰,"19,254"
L28,富泰,"20,436"
L29,屯門鄉郊,"21,714"
M01,豐年,"19,454"
M02,水邊,"19,277"
M03,南屏,"16,800"
M04,北朗,"17,016"
M05,元朗中心,"17,543"
M06,元龍,"13,959"
M07,鳳翔,"15,611"
M08,十八鄉東,"15,217"
M09,十八鄉中,"20,104"
M10,十八鄉西,"21,626"
M11,屏山南,"16,337"
M12,屏山中,"14,201"
M13,屏山北,"12,799"
M14,廈村,"15,364"
M15,天盛,"21,328"
M16,瑞愛,"18,325"
M17,瑞華,"15,299"
M18,頌華,"15,311"
M19,悅恩,"19,339"
M20,富恩,"19,773"
M21,逸澤,"19,122"
M22,天恒,"22,520"
M23,宏逸,"20,242"
M24,晴景,"19,925"
M25,嘉湖北,"23,223"
M26,慈祐,"14,265"
M27,耀祐,"14,029"
M28,天耀,"14,424"
M29,嘉湖南,"17,332"
M30,頌栢,"15,681"
M31,錦綉花園,"16,460"
M32,新田,"20,990"
M33,錦田,"13,462"
M34,八鄉北,"13,208"
M35,八鄉南,"19,645"
N01,聯和墟,"19,439"
N02,粉嶺市,"13,501"
N03,祥華,"17,874"
N04,華都,"19,452"
N05,華明,"17,151"
N06,欣盛,"20,102"
N07,盛福,"14,982"
N08,粉嶺南,"15,365"
N09,清河,"20,610"
N10,御太,"17,154"
N11,上水鄉郊,"21,578"
N12,彩園,"17,909"
N13,石湖墟,"19,736"
N14,天平西,"15,062"
N15,鳳翠,"14,972"
N16,沙打,"14,263"
N17,天平東,"17,298"
N18,皇后山,"17,962"
P01,大埔墟,"16,037"
P02,大埔中,"14,109"
P03,頌汀,"14,946"
P04,大元,"14,379"
P05,富亨,"16,576"
P06,怡富,"16,606"
P07,富明新,"14,282"
P08,廣福及寶湖,"13,459"
P09,宏福,"12,744"
P10,大埔滘,"19,556"
P11,運頭塘,"17,024"
P12,新富,"16,714"
P13,林村谷,"21,098"
P14,寶雅,"14,902"
P15,太和,"15,623"
P16,舊墟及太湖,"15,455"
P17,康樂園,"20,783"
P18,船灣,"20,509"
P19,西貢北,"15,475"
Q01,西貢市中心,"11,755"
Q02,白沙灣,"18,728"
Q03,西貢離島,"13,103"
Q04,坑口東,"15,821"
Q05,坑口西,"15,591"
Q06,寶怡,"16,781"
Q07,維景,"15,002"
Q08,都善,"15,314"
Q09,健明,"16,592"
Q10,彩健,"19,908"
Q11,澳唐,"18,262"
Q12,富君,"19,951"
Q13,軍寶,"13,726"
Q14,南安,"17,506"
Q15,康景,"20,623"
Q16,翠林,"16,311"
