"District 
Code","Constituency
Code",Polling Station Code,No. of Electors*,"Main
CS?","Small 
PS?",08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
A,A15,A1501,"7,234 ",Y,N,70 ,255 ,505 ,752 ,"1,013 ","1,301 ","1,576 ","1,833 ","2,060 ","2,310 ","2,559 ","2,803 ","3,032 ","3,227 ","3,559 "
B,B01,B0101,"4,943 ",Y,N,68 ,202 ,342 ,607 ,809 ,"1,002 ","1,203 ","1,385 ","1,562 ","1,736 ","1,888 ","2,010 ","2,145 ","2,289 ","2,375 "
B,B02,B0201,"5,982 ",Y,N,74 ,215 ,386 ,601 ,869 ,"1,028 ","1,237 ","1,307 ","1,485 ","1,652 ","1,815 ","1,945 ","2,068 ","2,197 ","2,327 "
B,B03,B0301,"4,968 ",Y,N,51 ,140 ,247 ,409 ,565 ,693 ,838 ,987 ,"1,113 ","1,253 ","1,363 ","1,477 ","1,583 ","1,661 ","1,755 "
B,B05,B0501,"3,050 ",Y,N,23 ,78 ,137 ,225 ,327 ,396 ,485 ,591 ,669 ,756 ,852 ,931 ,"1,008 ","1,084 ","1,201 "
B,B05,B0502,"4,232 ",N,N,86 ,266 ,434 ,653 ,806 ,942 ,"1,102 ","1,247 ","1,386 ","1,534 ","1,690 ","1,841 ","1,935 ","2,049 ","2,115 "
B,B07,B0701,"5,695 ",Y,N,81 ,214 ,340 ,590 ,794 ,989 ,"1,186 ","1,412 ","1,581 ","1,737 ","1,916 ","2,074 ","2,229 ","2,413 ","2,566 "
B,B08,B0801,"5,993 ",Y,N,30 ,96 ,204 ,376 ,582 ,750 ,955 ,"1,175 ","1,394 ","1,576 ","1,797 ","1,970 ","2,132 ","2,311 ","2,606 "
B,B09,B0901,"5,306 ",Y,N,54 ,154 ,242 ,435 ,619 ,810 ,"1,028 ","1,257 ","1,448 ","1,612 ","1,788 ","1,928 ","2,099 ","2,290 ","2,474 "
B,B10,B1001,"5,348 ",Y,N,52 ,153 ,299 ,503 ,682 ,835 ,999 ,"1,186 ","1,337 ","1,519 ","1,729 ","1,855 ","1,992 ","2,146 ","2,309 "
B,B11,B1101,"4,273 ",Y,N,41 ,114 ,173 ,276 ,423 ,515 ,633 ,767 ,895 ,965 ,"1,063 ","1,162 ","1,261 ","1,364 ","1,477 "
B,B11,B1102,808 ,N,N,11 ,24 ,35 ,59 ,89 ,116 ,150 ,173 ,195 ,209 ,237 ,246 ,267 ,294 ,327 
B,B12,B1201,"4,726 ",Y,N,40 ,122 ,278 ,435 ,586 ,729 ,879 ,"1,026 ","1,226 ","1,354 ","1,498 ","1,611 ","1,726 ","1,807 ","1,920 "
B,B13,B1301,"5,009 ",Y,N,97 ,241 ,375 ,629 ,838 ,"1,015 ","1,175 ","1,344 ","1,499 ","1,661 ","1,804 ","1,953 ","2,102 ","2,216 ","2,320 "
C,C01,C0101,"8,815 ",Y,N,87 ,270 ,518 ,936 ,"1,314 ","1,659 ","2,009 ","2,387 ","2,733 ","3,089 ","3,394 ","3,708 ","4,010 ","4,316 ","4,687 "
C,C02,C0201,"5,066 ",N,N,46 ,173 ,313 ,528 ,739 ,888 ,"1,101 ","1,295 ","1,504 ","1,691 ","1,784 ","2,022 ","2,208 ","2,435 ","2,635 "
C,C02,C0202,"4,832 ",Y,N,57 ,189 ,324 ,566 ,761 ,"1,008 ","1,207 ","1,410 ","1,594 ","1,784 ","1,994 ","2,160 ","2,323 ","2,503 ","2,676 "
C,C03,C0301,"9,315 ",Y,N,125 ,369 ,652 ,"1,082 ","1,402 ","1,752 ","2,044 ","2,402 ","2,704 ","3,075 ","3,375 ","3,777 ","4,092 ","4,457 ","4,814 "
C,C04,C0401,"11,271 ",Y,N,160 ,470 ,835 ,"1,302 ","1,701 ","2,074 ","2,351 ","2,734 ","3,158 ","3,477 ","3,863 ","4,177 ","4,522 ","4,809 ","5,191 "
C,C05,C0501,"6,412 ",Y,N,74 ,299 ,481 ,739 ,"1,009 ","1,269 ","1,457 ","1,645 ","1,870 ","2,042 ","2,237 ","2,431 ","2,622 ","2,822 ","3,019 "
C,C06,C0601,"5,771 ",Y,N,51 ,161 ,272 ,433 ,643 ,784 ,956 ,"1,165 ","1,301 ","1,480 ","1,639 ","1,829 ","2,055 ","2,289 ","2,546 "
C,C06,C0602,"5,186 ",N,N,40 ,177 ,384 ,583 ,759 ,875 ,"1,044 ","1,207 ","1,345 ","1,483 ","1,615 ","1,757 ","1,861 ","1,985 ","2,129 "
C,C07,C0701,"10,635 ",Y,N,122 ,327 ,686 ,"1,135 ","1,585 ","2,140 ","2,629 ","3,052 ","3,509 ","3,911 ","4,295 ","4,772 ","5,188 ","5,733 ","6,332 "
C,C08,C0801,"8,571 ",Y,N,109 ,383 ,694 ,"1,125 ","1,472 ","1,756 ","2,081 ","2,345 ","2,653 ","2,961 ","3,322 ","3,619 ","3,897 ","4,196 ","4,488 "
C,C10,C1001,"8,271 ",Y,N,103 ,307 ,538 ,894 ,"1,261 ","1,513 ","1,820 ","2,102 ","2,397 ","2,660 ","2,939 ","3,232 ","3,527 ","3,785 ","4,030 "
C,C11,C1101,"11,182 ",Y,N,103 ,342 ,655 ,"1,089 ","1,512 ","1,913 ","2,264 ","2,633 ","3,089 ","3,539 ","3,857 ","4,225 ","4,573 ","4,985 ","5,451 "
C,C12,C1201,"8,438 ",Y,N,82 ,279 ,603 ,959 ,"1,254 ","1,493 ","1,758 ","2,011 ","2,284 ","2,509 ","2,778 ","3,004 ","3,233 ","3,486 ","3,700 "
C,C13,C1301,"9,108 ",Y,N,193 ,484 ,925 ,"1,295 ","1,572 ","1,867 ","2,175 ","2,490 ","2,769 ","3,047 ","3,347 ","3,622 ","3,843 ","4,040 ","4,247 "
C,C21,C2101,"8,179 ",Y,N,97 ,285 ,568 ,937 ,"1,348 ","1,692 ","2,063 ","2,430 ","2,769 ","3,044 ","3,381 ","3,636 ","3,926 ","4,160 ","4,414 "
C,C23,C2301,"6,724 ",Y,N,72 ,205 ,385 ,629 ,878 ,"1,019 ","1,264 ","1,455 ","1,657 ","1,844 ","2,057 ","2,207 ","2,383 ","2,572 ","2,736 "
C,C24,C2401,"8,309 ",Y,N,72 ,284 ,600 ,985 ,"1,412 ","1,725 ","2,068 ","2,421 ","2,716 ","3,088 ","3,390 ","3,751 ","4,024 ","4,330 ","4,612 "
C,C25,C2501,"8,230 ",Y,N,80 ,307 ,595 ,"1,047 ","1,377 ","1,776 ","2,182 ","2,531 ","2,850 ","3,232 ","3,649 ","3,962 ","4,278 ","4,632 ","5,044 "
C,C26,C2601,"7,752 ",Y,N,106 ,307 ,516 ,899 ,"1,184 ","1,519 ","1,828 ","2,172 ","2,559 ","2,856 ","3,176 ","3,438 ","3,698 ","3,971 ","4,233 "
C,C27,C2701,"6,053 ",Y,N,119 ,322 ,580 ,814 ,"1,066 ","1,244 ","1,448 ","1,671 ","1,858 ","2,098 ","2,288 ","2,515 ","2,725 ","2,909 ","3,090 "
C,C27,C2702,"6,327 ",N,N,76 ,228 ,399 ,680 ,910 ,"1,107 ","1,336 ","1,568 ","1,782 ","1,982 ","2,197 ","2,394 ","2,577 ","2,825 ","3,059 "
C,C28,C2801,"8,689 ",Y,N,79 ,255 ,529 ,854 ,"1,183 ","1,483 ","1,765 ","2,098 ","2,413 ","2,732 ","3,058 ","3,316 ","3,607 ","3,886 ","4,226 "
C,C29,C2901,"4,804 ",Y,N,65 ,201 ,318 ,537 ,685 ,841 ,"1,004 ","1,154 ","1,293 ","1,452 ","1,599 ","1,737 ","1,893 ","2,013 ","2,153 "
C,C29,C2902,"3,598 ",N,N,44 ,117 ,196 ,309 ,431 ,518 ,635 ,743 ,845 ,942 ,"1,046 ","1,170 ","1,293 ","1,405 ","1,522 "
C,C31,C3101,"3,576 ",N,N,57 ,167 ,280 ,435 ,562 ,659 ,788 ,884 ,989 ,"1,117 ","1,226 ","1,341 ","1,452 ","1,554 ","1,640 "
C,C31,C3102,"4,863 ",Y,N,100 ,267 ,459 ,674 ,824 ,975 ,"1,098 ","1,223 ","1,352 ","1,527 ","1,689 ","1,827 ","2,037 ","2,155 ","2,254 "
C,C32,C3201,"6,819 ",Y,N,97 ,237 ,443 ,812 ,"1,123 ","1,385 ","1,666 ","1,942 ","2,234 ","2,461 ","2,711 ","2,963 ","3,199 ","3,493 ","3,760 "
C,C32,C3202,"1,257 ",N,N,12 ,66 ,121 ,202 ,285 ,334 ,379 ,416 ,468 ,505 ,551 ,585 ,626 ,662 ,706 
C,C33,C3301,"7,073 ",Y,N,75 ,205 ,373 ,684 ,955 ,"1,163 ","1,461 ","1,723 ","1,976 ","2,219 ","2,459 ","2,666 ","2,931 ","3,157 ","3,365 "
C,C34,C3401,"8,334 ",Y,N,114 ,370 ,680 ,979 ,"1,256 ","1,545 ","1,815 ","2,026 ","2,302 ","2,569 ","2,877 ","3,155 ","3,400 ","3,689 ","3,902 "
C,C35,C3501,"6,107 ",Y,N,61 ,209 ,411 ,638 ,840 ,"1,029 ","1,204 ","1,405 ","1,617 ","1,842 ","2,061 ","2,287 ","2,499 ","2,684 ","2,936 "
C,C35,C3502,"2,518 ",N,N,20 ,62 ,122 ,202 ,274 ,392 ,446 ,513 ,593 ,677 ,748 ,818 ,880 ,957 ,"1,030 "
D,D01,D0101,"10,340 ",Y,N,140 ,336 ,544 ,945 ,"1,230 ","1,507 ","1,817 ","2,093 ","2,357 ","2,660 ","2,991 ","3,303 ","3,672 ","4,062 ","4,426 "
D,D03,D0301,"6,039 ",Y,N,40 ,167 ,344 ,567 ,754 ,910 ,"1,098 ","1,267 ","1,425 ","1,576 ","1,733 ","1,894 ","2,073 ","2,249 ","2,468 "
D,D04,D0401,"10,260 ",Y,N,129 ,378 ,660 ,"1,024 ","1,407 ","1,742 ","2,095 ","2,415 ","2,771 ","3,161 ","3,497 ","3,839 ","4,229 ","4,630 ","5,066 "
D,D05,D0501,"9,026 ",Y,N,202 ,537 ,838 ,"1,283 ","1,585 ","1,862 ","2,194 ","2,460 ","2,752 ","3,103 ","3,419 ","3,737 ","4,034 ","4,300 ","4,581 "
D,D06,D0601,"7,499 ",Y,N,112 ,343 ,641 ,878 ,"1,247 ","1,570 ","1,899 ","2,251 ","2,558 ","2,872 ","3,274 ","3,591 ","3,921 ","4,347 ","4,701 "
D,D07,D0701,"8,260 ",Y,N,150 ,361 ,562 ,"1,142 ","1,461 ","1,884 ","2,251 ","2,637 ","2,993 ","3,374 ","3,720 ","4,069 ","4,462 ","4,873 ","5,277 "
D,D08,D0801,"10,870 ",Y,N,106 ,399 ,795 ,"1,495 ","1,942 ","2,298 ","2,589 ","2,920 ","3,313 ","3,620 ","4,039 ","4,411 ","4,758 ","5,114 ","5,503 "
D,D09,D0901,"7,572 ",Y,N,104 ,296 ,516 ,861 ,"1,094 ","1,296 ","1,527 ","1,695 ","1,910 ","2,135 ","2,388 ","2,621 ","2,881 ","3,116 ","3,284 "
D,D10,D1001,"8,605 ",Y,N,145 ,420 ,713 ,"1,166 ","1,513 ","1,845 ","2,168 ","2,462 ","2,764 ","3,102 ","3,443 ","3,760 ","4,066 ","4,334 ","4,569 "
D,D11,D1101,"1,509 ",Y,N,19 ,52 ,88 ,151 ,207 ,262 ,316 ,369 ,426 ,488 ,542 ,595 ,629 ,685 ,734 
D,D11,D1102,"2,333 ",N,N,28 ,77 ,142 ,231 ,314 ,395 ,475 ,571 ,665 ,744 ,849 ,988 ,"1,094 ","1,170 ","1,283 "
D,D11,D1103,"1,931 ",N,N,20 ,68 ,118 ,198 ,312 ,391 ,479 ,560 ,645 ,720 ,803 ,876 ,934 ,"1,007 ","1,095 "
D,D12,D1201,731 ,Y,N,11 ,21 ,46 ,61 ,83 ,111 ,125 ,133 ,147 ,167 ,185 ,212 ,233 ,251 ,264 
D,D12,D1202,"8,409 ",N,N,134 ,408 ,767 ,"1,121 ","1,554 ","1,916 ","2,291 ","2,601 ","2,955 ","3,282 ","3,603 ","3,920 ","4,146 ","4,453 ","4,757 "
D,D15,D1501,"2,722 ",N,N,54 ,147 ,216 ,351 ,549 ,596 ,635 ,725 ,817 ,908 ,992 ,"1,085 ","1,159 ","1,238 ","1,334 "
D,D15,D1502,"6,251 ",Y,N,111 ,289 ,513 ,866 ,"1,074 ","1,285 ","1,540 ","1,814 ","2,083 ","2,320 ","2,582 ","2,813 ","3,032 ","3,312 ","3,553 "
D,D16,D1601,"1,722 ",N,N,8 ,35 ,61 ,113 ,176 ,207 ,230 ,287 ,349 ,394 ,442 ,492 ,545 ,594 ,640 
D,D16,D1602,"2,000 ",Y,N,19 ,65 ,105 ,155 ,216 ,260 ,301 ,348 ,421 ,483 ,556 ,634 ,678 ,743 ,802 
D,D17,D1701,"6,394 ",Y,N,83 ,258 ,430 ,637 ,840 ,"1,002 ","1,160 ","1,306 ","1,443 ","1,597 ","1,779 ","1,951 ","2,148 ","2,345 ","2,526 "
D,D17,D1702,"1,185 ",N,N,24 ,58 ,90 ,153 ,208 ,255 ,281 ,314 ,345 ,370 ,416 ,450 ,484 ,528 ,569 
E,E01,E0101,"4,200 ",Y,N,36 ,121 ,199 ,394 ,582 ,725 ,894 ,"1,040 ","1,197 ","1,337 ","1,479 ","1,623 ","1,727 ","1,891 ","2,061 "
E,E02,E0201,"6,054 ",Y,N,84 ,210 ,325 ,545 ,687 ,844 ,986 ,"1,166 ","1,334 ","1,472 ","1,632 ","1,753 ","1,904 ","2,058 ","2,169 "
E,E04,E0401,"7,640 ",Y,N,80 ,264 ,528 ,828 ,"1,101 ","1,364 ","1,614 ","1,885 ","2,101 ","2,348 ","2,567 ","2,836 ","3,048 ","3,286 ","3,482 "
E,E05,E0501,"9,802 ",Y,N,106 ,349 ,536 ,961 ,"1,306 ","1,588 ","1,912 ","2,256 ","2,583 ","2,921 ","3,234 ","3,568 ","3,879 ","4,285 ","4,612 "
E,E07,E0701,"9,103 ",Y,N,139 ,403 ,695 ,"1,123 ","1,503 ","1,832 ","2,139 ","2,520 ","2,835 ","3,125 ","3,469 ","3,823 ","4,152 ","4,507 ","4,834 "
E,E08,E0801,"5,095 ",Y,N,47 ,144 ,261 ,495 ,767 ,985 ,"1,218 ","1,497 ","1,763 ","1,980 ","2,166 ","2,363 ","2,556 ","2,764 ","2,961 "
E,E09,E0901,"5,615 ",Y,N,50 ,196 ,408 ,641 ,867 ,"1,031 ","1,242 ","1,416 ","1,578 ","1,755 ","1,947 ","2,147 ","2,311 ","2,480 ","2,652 "
E,E10,E1001,"6,510 ",Y,N,64 ,212 ,529 ,631 ,883 ,"1,104 ","1,290 ","1,542 ","1,740 ","1,995 ","2,193 ","2,418 ","2,625 ","2,803 ","2,996 "
E,E11,E1101,"7,543 ",Y,N,94 ,339 ,572 ,937 ,"1,309 ","1,686 ","1,977 ","2,264 ","2,583 ","2,851 ","3,103 ","3,372 ","3,617 ","3,869 ","4,081 "
E,E12,E1201,"7,413 ",Y,N,93 ,249 ,438 ,716 ,959 ,"1,162 ","1,361 ","1,603 ","1,835 ","2,049 ","2,274 ","2,492 ","2,665 ","2,874 ","3,007 "
E,E13,E1301,"6,328 ",Y,N,97 ,255 ,431 ,698 ,903 ,"1,075 ","1,283 ","1,472 ","1,626 ","1,821 ","2,023 ","2,155 ","2,333 ","2,481 ","2,597 "
E,E14,E1401,"6,075 ",Y,N,92 ,255 ,454 ,713 ,905 ,"1,101 ","1,345 ","1,553 ","1,733 ","1,899 ","2,067 ","2,217 ","2,424 ","2,603 ","2,747 "
E,E16,E1601,"5,179 ",Y,N,85 ,245 ,391 ,580 ,798 ,973 ,"1,143 ","1,335 ","1,527 ","1,654 ","1,806 ","1,973 ","2,103 ","2,255 ","2,406 "
E,E17,E1701,"2,891 ",Y,N,18 ,79 ,128 ,227 ,344 ,424 ,572 ,680 ,769 ,849 ,969 ,"1,066 ","1,155 ","1,251 ","1,347 "
E,E17,E1702,536 ,N,N,7 ,16 ,28 ,37 ,45 ,59 ,74 ,100 ,118 ,127 ,142 ,149 ,163 ,190 ,204 
E,E18,E1801,"5,498 ",Y,N,31 ,109 ,193 ,308 ,448 ,585 ,724 ,846 ,981 ,"1,094 ","1,206 ","1,338 ","1,441 ","1,532 ","1,658 "
E,E19,E1901,"3,848 ",Y,N,29 ,103 ,196 ,356 ,458 ,547 ,636 ,741 ,839 ,939 ,"1,140 ","1,169 ","1,231 ","1,273 ","1,344 "
F,F01,F0101,"7,492 ",Y,N,101 ,313 ,538 ,912 ,"1,199 ","1,484 ","1,778 ","2,042 ","2,287 ","2,528 ","2,803 ","3,014 ","3,240 ","3,462 ","3,648 "
F,F02,F0201,"6,712 ",Y,N,62 ,203 ,368 ,599 ,859 ,"1,081 ","1,338 ","1,559 ","1,782 ","1,996 ","2,224 ","2,469 ","2,687 ","2,889 ","3,081 "
F,F03,F0301,"5,699 ",Y,N,72 ,176 ,361 ,533 ,718 ,885 ,"1,066 ","1,221 ","1,400 ","1,548 ","1,728 ","1,874 ","2,005 ","2,163 ","2,317 "
F,F04,F0401,"10,070 ",Y,N,166 ,549 ,"1,014 ","1,458 ","1,861 ","2,200 ","2,537 ","2,831 ","3,142 ","3,469 ","3,805 ","4,121 ","4,433 ","4,707 ","4,983 "
F,F05,F0501,"6,245 ",Y,N,99 ,284 ,481 ,742 ,979 ,"1,249 ","1,469 ","1,655 ","1,866 ","2,071 ","2,270 ","2,456 ","2,648 ","2,865 ","3,047 "
F,F06,F0601,"6,396 ",Y,N,60 ,210 ,334 ,550 ,732 ,918 ,"1,115 ","1,297 ","1,461 ","1,610 ","1,788 ","1,945 ","2,115 ","2,246 ","2,392 "
F,F07,F0701,"4,979 ",Y,N,45 ,156 ,274 ,433 ,583 ,716 ,834 ,982 ,"1,103 ","1,225 ","1,364 ","1,507 ","1,623 ","1,752 ","1,843 "
F,F08,F0801,"7,500 ",Y,N,69 ,231 ,429 ,678 ,922 ,"1,110 ","1,327 ","1,556 ","1,767 ","2,003 ","2,252 ","2,455 ","2,686 ","2,912 ","3,137 "
F,F09,F0901,"10,741 ",Y,N,191 ,506 ,900 ,"1,339 ","1,648 ","1,907 ","2,248 ","2,537 ","2,866 ","3,203 ","3,633 ","3,940 ","4,379 ","4,812 ","5,175 "
F,F10,F1001,"8,991 ",Y,N,169 ,554 ,907 ,"1,316 ","1,721 ","2,189 ","2,531 ","2,942 ","3,323 ","3,670 ","4,027 ","4,291 ","4,594 ","4,944 ","5,224 "
F,F11,F1101,"5,952 ",Y,N,117 ,384 ,628 ,945 ,"1,172 ","1,373 ","1,570 ","1,805 ","2,027 ","2,216 ","2,434 ","2,659 ","2,829 ","3,049 ","3,227 "
F,F11,F1102,"1,447 ",N,N,11 ,43 ,88 ,133 ,230 ,287 ,368 ,435 ,488 ,543 ,594 ,660 ,709 ,791 ,864 
F,F12,F1201,"8,838 ",Y,N,128 ,386 ,615 ,"1,079 ","1,441 ","1,778 ","2,095 ","2,406 ","2,704 ","2,988 ","3,283 ","3,604 ","3,971 ","4,386 ","4,780 "
F,F13,F1301,"8,563 ",Y,N,113 ,312 ,590 ,950 ,"1,349 ","1,705 ","2,077 ","2,451 ","2,812 ","3,139 ","3,513 ","3,825 ","4,142 ","4,508 ","4,849 "
F,F14,F1401,"7,329 ",Y,N,70 ,234 ,407 ,716 ,"1,043 ","1,364 ","1,642 ","1,929 ","2,259 ","2,485 ","2,768 ","3,030 ","3,263 ","3,507 ","3,782 "
F,F15,F1501,"8,061 ",Y,N,155 ,339 ,537 ,937 ,"1,408 ","1,678 ","2,090 ","2,412 ","2,728 ","3,058 ","3,391 ","3,636 ","3,932 ","4,220 ","4,478 "
F,F16,F1601,"7,085 ",Y,N,87 ,245 ,534 ,866 ,"1,260 ","1,546 ","1,927 ","2,273 ","2,632 ","2,968 ","3,284 ","3,616 ","3,925 ","4,303 ","4,628 "
F,F17,F1701,"4,409 ",Y,N,70 ,199 ,315 ,530 ,671 ,816 ,982 ,"1,088 ","1,233 ","1,389 ","1,564 ","1,687 ","1,854 ","2,014 ","2,160 "
F,F18,F1801,"10,268 ",Y,N,145 ,568 ,"1,007 ","1,454 ","1,847 ","2,125 ","2,483 ","2,787 ","3,088 ","3,399 ","3,684 ","3,931 ","4,197 ","4,438 ","4,750 "
F,F19,F1901,"9,262 ",Y,N,132 ,345 ,694 ,"1,052 ","1,376 ","1,684 ","1,970 ","2,297 ","2,599 ","2,910 ","3,225 ","3,515 ","3,793 ","4,100 ","4,506 "
F,F20,F2001,"7,641 ",Y,N,137 ,379 ,748 ,"1,099 ","1,315 ","1,549 ","1,777 ","1,920 ","2,169 ","2,369 ","2,625 ","2,895 ","3,086 ","3,292 ","3,503 "
F,F21,F2101,"5,904 ",Y,N,85 ,214 ,355 ,579 ,824 ,"1,067 ","1,325 ","1,600 ","1,845 ","2,032 ","2,288 ","2,481 ","2,725 ","3,015 ","3,318 "
F,F22,F2201,"8,849 ",Y,N,148 ,457 ,842 ,"1,284 ","1,649 ","1,945 ","2,251 ","2,537 ","2,869 ","3,191 ","3,531 ","3,768 ","4,087 ","4,396 ","4,651 "
F,F23,F2301,"3,703 ",Y,N,73 ,182 ,328 ,487 ,635 ,760 ,893 ,"1,009 ","1,163 ","1,292 ","1,459 ","1,588 ","1,712 ","1,846 ","1,977 "
F,F23,F2302,"4,460 ",N,N,119 ,257 ,371 ,624 ,784 ,933 ,"1,115 ","1,274 ","1,434 ","1,559 ","1,733 ","1,897 ","2,040 ","2,189 ","2,357 "
G,G01,G0101,"10,027 ",Y,N,154 ,596 ,818 ,"1,365 ","1,746 ","2,091 ","2,540 ","2,856 ","3,257 ","3,613 ","3,987 ","4,321 ","4,726 ","5,001 ","5,349 "
G,G02,G0201,"7,726 ",Y,N,103 ,309 ,493 ,840 ,"1,064 ","1,254 ","1,475 ","1,736 ","1,981 ","2,244 ","2,480 ","2,707 ","2,924 ","3,206 ","3,463 "
G,G03,G0301,"6,592 ",Y,N,92 ,285 ,436 ,739 ,974 ,"1,157 ","1,371 ","1,555 ","1,722 ","1,916 ","2,068 ","2,244 ","2,379 ","2,553 ","2,683 "
G,G04,G0401,"7,941 ",Y,N,126 ,463 ,764 ,"1,164 ","1,469 ","1,706 ","1,996 ","2,227 ","2,510 ","2,774 ","3,118 ","3,310 ","3,460 ","3,705 ","3,891 "
G,G05,G0501,"5,458 ",N,N,105 ,318 ,486 ,801 ,"1,087 ","1,258 ","1,436 ","1,599 ","1,816 ","1,977 ","2,205 ","2,381 ","2,553 ","2,733 ","2,897 "
G,G05,G0502,"4,463 ",Y,N,111 ,265 ,418 ,674 ,891 ,"1,071 ","1,231 ","1,379 ","1,506 ","1,688 ","1,893 ","2,080 ","2,210 ","2,314 ","2,461 "
G,G06,G0601,"6,113 ",Y,N,55 ,174 ,289 ,528 ,747 ,904 ,"1,087 ","1,313 ","1,530 ","1,745 ","1,958 ","2,124 ","2,336 ","2,523 ","2,730 "
G,G06,G0602,"3,239 ",N,N,39 ,141 ,249 ,379 ,470 ,565 ,658 ,779 ,898 ,982 ,"1,112 ","1,200 ","1,285 ","1,403 ","1,542 "
G,G07,G0701,"3,117 ",Y,N,25 ,72 ,140 ,244 ,325 ,413 ,516 ,610 ,696 ,801 ,898 ,994 ,"1,071 ","1,178 ","1,317 "
G,G07,G0702,"4,864 ",N,N,50 ,177 ,312 ,523 ,758 ,952 ,"1,144 ","1,325 ","1,528 ","1,706 ","1,875 ","2,064 ","2,207 ","2,386 ","2,523 "
G,G10,G1001,"6,102 ",Y,N,51 ,187 ,399 ,670 ,869 ,"1,041 ","1,223 ","1,440 ","1,623 ","1,784 ","1,940 ","2,098 ","2,228 ","2,364 ","2,517 "
G,G11,G1101,"7,299 ",Y,N,83 ,238 ,436 ,715 ,991 ,"1,231 ","1,478 ","1,738 ","1,947 ","2,176 ","2,389 ","2,607 ","2,828 ","3,045 ","3,243 "
