"District 
Code","Constituency
Code",Polling Station Code,No. of Electors*,"Main
CS?","Small 
PS?",08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
A,A01,A0101,"3,515 ",N,N,24 ,115 ,221 ,358 ,530 ,670 ,835 ,943 ,"1,065 ","1,190 ","1,304 ","1,400 ","1,514 ","1,625 ","1,692 "
A,A01,A0102,814 ,Y,N,4 ,23 ,36 ,66 ,111 ,136 ,168 ,201 ,228 ,239 ,269 ,284 ,300 ,325 ,351 
A,A02,A0201,"6,624 ",Y,N,67 ,201 ,316 ,605 ,842 ,"1,060 ","1,276 ","1,454 ","1,669 ","1,883 ","2,123 ","2,306 ","2,538 ","2,774 ","3,013 "
A,A03,A0301,"4,989 ",N,N,10 ,75 ,177 ,340 ,509 ,671 ,840 ,995 ,"1,141 ","1,270 ","1,441 ","1,575 ","1,706 ","1,891 ","2,112 "
A,A03,A0302,"1,860 ",Y,N,10 ,38 ,74 ,135 ,185 ,240 ,284 ,337 ,389 ,438 ,492 ,539 ,576 ,643 ,693 
A,A04,A0401,"4,098 ",Y,N,32 ,98 ,138 ,290 ,409 ,495 ,614 ,758 ,904 ,"1,019 ","1,158 ","1,283 ","1,369 ","1,478 ","1,607 "
A,A04,A0402,"1,207 ",N,N,10 ,46 ,66 ,90 ,155 ,190 ,231 ,279 ,326 ,369 ,419 ,459 ,484 ,521 ,556 
A,A05,A0501,"8,105 ",Y,N,63 ,194 ,370 ,567 ,830 ,"1,068 ","1,286 ","1,564 ","1,823 ","2,069 ","2,376 ","2,607 ","2,809 ","3,043 ","3,334 "
A,A06,A0601,"7,004 ",Y,N,71 ,286 ,505 ,832 ,"1,112 ","1,388 ","1,681 ","1,968 ","2,220 ","2,469 ","2,735 ","2,980 ","3,221 ","3,527 ","3,789 "
A,A07,A0701,"8,200 ",Y,N,157 ,410 ,697 ,993 ,"1,265 ","1,520 ","1,771 ","2,078 ","2,376 ","2,649 ","3,036 ","3,296 ","3,580 ","3,859 ","4,110 "
A,A08,A0801,"7,505 ",Y,N,107 ,328 ,562 ,976 ,"1,278 ","1,590 ","1,865 ","2,134 ","2,430 ","2,708 ","2,995 ","3,259 ","3,500 ","3,726 ","3,949 "
A,A09,A0901,"9,698 ",Y,N,96 ,279 ,496 ,899 ,"1,319 ","1,679 ","2,059 ","2,432 ","2,765 ","3,110 ","3,465 ","3,798 ","4,105 ","4,445 ","4,786 "
A,A10,A1001,"7,929 ",Y,N,50 ,185 ,413 ,649 ,961 ,"1,187 ","1,417 ","1,652 ","1,885 ","2,116 ","2,362 ","2,588 ","2,810 ","3,046 ","3,269 "
A,A11,A1101,"4,926 ",N,N,65 ,183 ,287 ,544 ,709 ,856 ,"1,020 ","1,138 ","1,299 ","1,448 ","1,585 ","1,758 ","1,860 ","1,971 ","2,079 "
A,A11,A1102,"2,366 ",Y,N,39 ,79 ,124 ,204 ,273 ,341 ,403 ,458 ,518 ,590 ,653 ,739 ,813 ,887 ,947 
A,A12,A1201,"6,646 ",Y,N,59 ,217 ,351 ,645 ,911 ,"1,112 ","1,367 ","1,585 ","1,806 ","1,992 ","2,181 ","2,381 ","2,546 ","2,707 ","2,827 "
A,A13,A1301,"3,287 ",N,N,41 ,102 ,184 ,340 ,476 ,588 ,704 ,842 ,947 ,"1,059 ","1,175 ","1,263 ","1,346 ","1,425 ","1,492 "
A,A13,A1302,"1,878 ",Y,N,24 ,79 ,155 ,237 ,305 ,388 ,448 ,518 ,594 ,650 ,706 ,779 ,799 ,841 ,884 
A,A14,A1401,"6,635 ",Y,N,113 ,287 ,530 ,751 ,"1,025 ","1,253 ","1,516 ","1,739 ","1,983 ","2,213 ","2,464 ","2,673 ","2,878 ","3,109 ","3,322 "
