Polling Station Code,District Code,"Geographical
 Constituency",No. of Electors*,8:30,9:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30,總投票人數,"Morning Vote
(7:30-12:30)","Afternoon Vote
(12:30-6:30)","Night Vote
(6:30-10:30)",Morning Percentage,Afternoon Percentage,Night Percentage,八點半後的投票率
P0301,P,LC5,"3,342",22,96,177,337,468,622,776,888,"1,008","1,130","1,245","1,383","1,498","1,627","1,776","1,776",468,777,531,26.35%,43.75%,29.90%,0.1565315315
P0302,P,LC5,"5,456",43,140,316,466,657,846,"1,003","1,177","1,347","1,519","1,678","1,846","2,035","2,174","2,358","2,358",657,"1,021",680,27.86%,43.30%,28.84%,0.1369804919
P0401,P,LC5,"8,662",52,179,416,665,912,"1,152","1,413","1,666","1,906","2,173","2,392","2,645","2,885","3,114","3,339","3,339",912,"1,480",947,27.31%,44.32%,28.36%,0.1359688529
P0501,P,LC5,"11,399",74,230,475,769,"1,131","1,397","1,742","2,091","2,438","2,771","3,058","3,490","3,797","4,171","4,572","4,572","1,131","1,927","1,514",24.74%,42.15%,33.11%,0.1695100612
P0601,P,LC5,"13,201",65,246,566,996,"1,441","1,908","2,329","2,727","3,117","3,501","3,912","4,340","4,780","5,213","5,630","5,630","1,441","2,471","1,718",25.60%,43.89%,30.52%,0.1509769094
P0701,P,LC5,"8,982",78,230,556,872,"1,204","1,491","1,845","2,123","2,415","2,700","2,981","3,262","3,525","3,811","4,022","4,022","1,204","1,777","1,041",29.94%,44.18%,25.88%,0.123570363
P0801,P,LC5,"7,465",75,228,406,667,920,"1,127","1,333","1,544","1,718","1,937","2,152","2,424","2,655","2,844","3,081","3,081",920,"1,232",929,29.86%,39.99%,30.15%,0.1382667965
P0802,P,LC5,"1,170",14,60,99,146,190,229,293,333,385,446,481,516,561,609,655,655,190,291,174,29.01%,44.43%,26.56%,0.1435114504
P0901,P,LC5,"8,433",84,250,550,852,"1,102","1,434","1,681","1,905","2,188","2,441","2,730","3,050","3,313","3,545","3,812","3,812","1,102","1,628","1,082",28.91%,42.71%,28.38%,0.1309024134
P1001,P,LC5,"5,762",39,125,272,477,749,"1,032","1,258","1,482","1,727","1,921","2,135","2,342","2,530","2,728","2,951","2,951",749,"1,386",816,25.38%,46.97%,27.65%,0.1426635039
P1002,P,LC5,"2,185",16,68,137,238,336,413,522,608,695,775,866,946,"1,023","1,081","1,156","1,156",336,530,290,29.07%,45.85%,25.09%,0.1150519031
P1101,P,LC5,"11,580",81,307,569,"1,032","1,481","1,841","2,217","2,628","2,980","3,373","3,740","4,181","4,558","4,932","5,372","5,372","1,481","2,259","1,632",27.57%,42.05%,30.38%,0.1515264334
P1201,P,LC5,"7,393",54,148,369,663,"1,012","1,245","1,522","1,830","2,152","2,381","2,681","2,940","3,173","3,491","3,876","3,876","1,012","1,669","1,195",26.11%,43.06%,30.83%,0.181372549
P1202,P,LC5,"1,946",41,78,122,177,220,285,353,417,503,570,631,712,781,839,917,917,220,411,286,23.99%,44.82%,31.19%,0.1483097056
P1301,P,LC5,642,11,32,52,96,123,150,182,197,216,240,262,285,303,327,344,344,123,139,82,35.76%,40.41%,23.84%,0.1191860465
P1302,P,LC5,"5,873",39,105,226,420,608,778,964,"1,140","1,307","1,485","1,652","1,813","1,965","2,178","2,325","2,325",608,"1,044",673,26.15%,44.90%,28.95%,0.1548387097
P1303,P,LC5,"1,405",20,41,74,125,183,220,271,316,365,401,461,515,568,629,696,696,183,278,235,26.29%,39.94%,33.76%,0.183908046
P1401,P,LC5,"10,432",40,168,375,674,981,"1,265","1,604","1,929","2,250","2,549","2,893","3,202","3,535","3,842","4,121","4,121",981,"1,912","1,228",23.80%,46.40%,29.80%,0.1421984955
P1501,P,LC5,"10,790",55,185,395,732,"1,067","1,357","1,681","1,999","2,303","2,577","2,924","3,264","3,559","3,894","4,198","4,198","1,067","1,857","1,274",25.42%,44.24%,30.35%,0.1522153406
P1601,P,LC5,"7,479",102,238,425,718,995,"1,339","1,667","2,029","2,351","2,651","2,953","3,277","3,551","3,822","4,053","4,053",995,"1,958","1,100",24.55%,48.31%,27.14%,0.12385887
P1701,P,LC5,"4,748",16,81,189,345,560,731,928,"1,127","1,303","1,463","1,629","1,800","1,946","2,126","2,346","2,346",560,"1,069",717,23.87%,45.57%,30.56%,0.1705029838
P1702,P,LC5,"1,696",21,56,112,166,241,292,365,412,476,553,623,676,717,765,804,804,241,382,181,29.98%,47.51%,22.51%,0.1082089552
P1703,P,LC5,"1,844",12,50,98,155,229,293,395,489,537,622,674,743,799,864,946,946,229,445,272,24.21%,47.04%,28.75%,0.1553911205
P1801,P,LC5,"2,798",33,91,178,254,366,464,566,636,715,796,899,974,"1,077","1,166","1,284","1,284",366,533,385,28.50%,41.51%,29.98%,0.1612149533
P1802,P,LC5,"4,274",43,120,221,359,506,676,794,926,"1,055","1,218","1,371","1,500","1,630","1,767","1,905","1,905",506,865,534,26.56%,45.41%,28.03%,0.1443569554
P1803,P,LC5,"1,265",14,29,63,124,171,209,275,320,394,449,503,544,585,649,704,704,171,332,201,24.29%,47.16%,28.55%,0.1690340909
P1901,P,LC5,"5,369",43,109,213,374,539,725,907,"1,087","1,303","1,502","1,674","1,872","2,040","2,265","2,503","2,503",539,"1,135",829,21.53%,45.35%,33.12%,0.1849780264
P1902,P,LC5,136,2,6,11,14,17,19,22,24,27,31,36,36,38,40,40,40,17,19,4,42.50%,47.50%,10.00%,0.05
P1903,P,LC5,247,9,30,40,55,61,64,65,65,65,65,67,71,73,73,73,73,61,6,6,83.56%,8.22%,8.22%,0
Q0101,Q,LC5,"8,655",75,251,533,835,"1,142","1,488","1,878","2,103","2,332","2,529","2,826","3,019","3,262","3,472","3,705","3,705","1,142","1,684",879,30.82%,45.45%,23.72%,0.1195681511
Q0102,Q,LC5,"1,825",14,64,139,202,251,316,356,392,431,456,516,554,606,665,731,731,251,265,215,34.34%,36.25%,29.41%,0.170998632
Q0201,Q,LC5,"6,928",24,111,296,526,763,"1,027","1,236","1,448","1,655","1,867","2,104","2,302","2,459","2,628","2,820","2,820",763,"1,341",716,27.06%,47.55%,25.39%,0.1280141844
Q0401,Q,LC5,"4,855",30,99,217,351,610,770,954,"1,103","1,270","1,428","1,565","1,686","1,805","1,952","2,114","2,114",610,955,549,28.86%,45.18%,25.97%,0.1461684011
Q0501,Q,LC5,"4,114",18,67,159,298,469,608,804,937,"1,089","1,190","1,338","1,460","1,564","1,679","1,778","1,778",469,869,440,26.38%,48.88%,24.75%,0.120359955
Q0601,Q,LC5,"8,586",62,214,444,686,948,"1,226","1,492","1,776","2,059","2,359","2,685","2,953","3,242","3,563","3,918","3,918",948,"1,737","1,233",24.20%,44.33%,31.47%,0.1725370087
Q0701,Q,LC5,"6,702",53,215,470,746,"1,121","1,469","1,807","2,148","2,477","2,791","3,108","3,402","3,660","3,919","4,246","4,246","1,121","1,987","1,138",26.40%,46.80%,26.80%,0.1380122468
Q0801,Q,LC5,"5,663",21,97,234,424,632,830,"1,052","1,309","1,540","1,751","1,990","2,192","2,357","2,711","2,845","2,845",632,"1,358",855,22.21%,47.73%,30.05%,0.1715289982
Q0901,Q,LC5,"8,037",41,121,292,513,690,872,"1,101","1,329","1,523","1,736","1,960","2,270","2,520","2,767","3,081","3,081",690,"1,270","1,121",22.40%,41.22%,36.38%,0.182083739
Q1001,Q,LC5,"10,408",42,210,425,751,"1,015","1,309","1,687","1,987","2,313","2,609","2,963","3,302","3,587","3,936","4,274","4,274","1,015","1,948","1,311",23.75%,45.58%,30.67%,0.1607393542
Q1101,Q,LC5,"8,977",23,153,367,675,996,"1,328","1,703","2,062","2,494","2,785","3,114","3,440","3,714","4,009","4,413","4,413",996,"2,118","1,299",22.57%,47.99%,29.44%,0.1583956492
Q1201,Q,LC5,"9,616",59,195,484,895,"1,256","1,582","1,949","2,367","2,718","3,100","3,486","3,807","4,187","4,569","4,863","4,863","1,256","2,230","1,377",25.83%,45.86%,28.32%,0.1390088423
Q1301,Q,LC5,"5,648",40,111,301,563,790,"1,078","1,379","1,617","1,916","2,215","2,459","2,706","2,904","3,156","3,388","3,388",790,"1,669",929,23.32%,49.26%,27.42%,0.1428571429
Q1401,Q,LC5,"9,533",45,172,424,775,"1,189","1,581","2,006","2,473","2,927","3,307","3,700","4,071","4,435","4,807","5,193","5,193","1,189","2,511","1,493",22.90%,48.35%,28.75%,0.1459657231
Q1501,Q,LC5,"2,012",11,38,122,163,238,310,377,457,532,588,674,737,802,888,946,946,238,436,272,25.16%,46.09%,28.75%,0.1522198732
Q1502,Q,LC5,"3,653",35,114,237,342,485,634,751,848,965,"1,094","1,229","1,347","1,450","1,575","1,674","1,674",485,744,445,28.97%,44.44%,26.58%,0.1338112306
Q1601,Q,LC5,"10,701",71,259,572,908,"1,205","1,482","1,752","2,004","2,303","2,634","2,968","3,319","3,669","3,958","4,257","4,257","1,205","1,763","1,289",28.31%,41.41%,30.28%,0.1381254405
Q1701,Q,LC5,"13,180",74,270,545,994,"1,339","1,776","2,125","2,541","2,930","3,327","3,736","4,145","4,507","4,892","5,303","5,303","1,339","2,397","1,567",25.25%,45.20%,29.55%,0.1501037149
Q1801,Q,LC5,"11,084",85,353,677,"1,121","1,645","2,128","2,537","2,986","3,403","3,822","4,225","4,626","4,977","5,339","5,752","5,752","1,645","2,580","1,527",28.60%,44.85%,26.55%,0.1347357441
Q1901,Q,LC5,"11,337",110,358,709,"1,217","1,743","2,308","2,858","3,304","3,808","4,270","4,731","5,194","5,675","6,116","6,460","6,460","1,743","2,988","1,729",26.98%,46.25%,26.76%,0.1215170279
Q1902,Q,LC5,"4,465",37,100,224,382,599,780,978,"1,190","1,414","1,609","1,792","1,966","2,130","2,307","2,506","2,506",599,"1,193",714,23.90%,47.61%,28.49%,0.1500399042
Q2001,Q,LC5,"11,991",74,277,683,"1,040","1,469","1,833","2,173","2,525","2,926","3,321","3,765","4,137","4,511","4,884","5,278","5,278","1,469","2,296","1,513",27.83%,43.50%,28.67%,0.145320197
Q2101,Q,LC5,"11,238",104,353,675,"1,094","1,458","1,842","2,210","2,598","2,973","3,347","3,724","4,153","4,561","4,949","5,311","5,311","1,458","2,266","1,587",27.45%,42.67%,29.88%,0.1412163434
Q2201,Q,LC5,"9,792",100,317,669,"1,116","1,552","1,930","2,314","2,692","3,072","3,472","3,822","4,160","4,493","4,869","5,099","5,099","1,552","2,270","1,277",30.44%,44.52%,25.04%,0.1188468327
Q2301,Q,LC5,"11,779",86,359,769,"1,216","1,712","2,251","2,749","3,181","3,613","4,041","4,444","4,846","5,211","5,590","6,022","6,022","1,712","2,732","1,578",28.43%,45.37%,26.20%,0.1346728662
