Code,Name,Sex,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+,source_file
R14,下城門 Lower Shing Mun,F,292.0,414.0,312.0,225.0,272.0,387.0,330.0,434.0,503.0,418.0,357.0,307.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R15,雲城 Wan Shing,M,177.0,343.0,337.0,351.0,464.0,519.0,516.0,635.0,558.0,386.0,289.0,424.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R15,雲城 Wan Shing,F,167.0,360.0,314.0,287.0,439.0,434.0,420.0,632.0,580.0,418.0,306.0,434.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R16,徑口 Keng Hau,M,182.0,347.0,350.0,545.0,575.0,523.0,487.0,527.0,768.0,688.0,504.0,794.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R16,徑口 Keng Hau,F,169.0,358.0,353.0,564.0,561.0,512.0,422.0,528.0,620.0,581.0,500.0,738.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R17,田心 Tin Sum,M,134.0,361.0,340.0,326.0,334.0,263.0,261.0,304.0,442.0,675.0,520.0,560.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R17,田心 Tin Sum,F,143.0,369.0,322.0,306.0,392.0,314.0,177.0,249.0,319.0,414.0,508.0,706.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R18,翠嘉 Chui Ka,M,123.0,274.0,262.0,329.0,366.0,356.0,281.0,398.0,537.0,751.0,583.0,816.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R18,翠嘉 Chui Ka,F,131.0,311.0,343.0,344.0,396.0,339.0,247.0,310.0,411.0,428.0,526.0,823.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R19,大圍 Tai Wai,M,151.0,382.0,390.0,407.0,424.0,431.0,418.0,602.0,800.0,701.0,657.0,1213.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R19,大圍 Tai Wai,F,158.0,350.0,408.0,386.0,429.0,406.0,357.0,437.0,586.0,609.0,583.0,1066.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
