票站編號,票站,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,兩次選舉投票人數相差,2016票站獲分派選民人數,2015票站獲分派選民人數
R3201,馬鞍山聖若瑟小學,27,39,118,59,7,-4,-13,-62,-133,-120,-72,-120,-274,9340.0,9339.0
R3202,恒安社區中心,19,66,43,78,20,9,45,22,-16,-39,-60,-46,141,5955.0,5954.0
R3301,德信中學,39,60,53,33,-11,-30,-85,-60,-68,-53,-39,-77,-238,11731.0,11730.0
R3401,九龍城浸信會禧年小學,33,56,4,18,-17,-33,-55,-57,-129,-67,-67,-183,-497,8406.0,8406.0
R3402,基督教香港信義會馬鞍山信義學校,-4,9,3,-6,-33,-16,-45,-21,-17,-16,-15,-52,-213,2448.0,2449.0
R3601,路德會梁鉅鏐小學,14,38,30,15,6,-13,-4,-9,-7,18,1,-14,75,6269.0,6269.0
R3602,香港浸會大學附屬學校王錦輝中小學,-8,1,-6,-13,-65,-63,-46,-50,-41,-50,-7,-41,-389,2058.0,2059.0
R3701,香港神託會培基書院,46,90,78,6,40,71,30,2,-7,-39,-33,-95,189,10161.0,10162.0
R3801,廣源社區會堂,16,76,20,26,-33,-23,-75,-59,-76,-91,-62,-101,-382,8972.0,8973.0
,,2092,5647,4789,3461,963,-127,-464,-1009,-2004,-2548,-3851,-10779,-3830,,
